date,munitions sell
2021-07-10,1931
2021-07-11,1950
2021-07-12,1917
2021-07-13,1991
2021-07-14,1968
2021-07-15,1980
2021-07-16,1962
2021-07-17,1923
2021-07-18,1918
2021-07-19,1893
2021-07-20,2009
2021-07-21,1987
2021-07-22,1978
2021-07-23,1998
2021-07-24,2029
2021-07-25,2016
2021-07-26,2006
2021-07-27,1952
2021-07-28,2012
2021-07-29,1981
2021-07-30,1965
2021-07-31,1983
2021-08-01,1978
2021-08-02,1932
2021-08-03,1944
2021-08-04,2024
2021-08-05,2065
2021-08-06,2125
2021-08-07,2121
2021-08-08,2114
2021-08-09,2104
2021-08-10,2113
2021-08-11,2088
2021-08-12,2069
2021-08-13,2029
2021-08-14,2102
2021-08-15,2246
2021-08-16,2345
2021-08-17,2327
2021-08-18,2312
2021-08-19,2191
2021-08-20,2155
2021-08-21,2114
2021-08-22,1991
2021-08-23,1967
2021-08-24,1954
2021-08-25,1957
2021-08-26,2066
2021-08-27,2022
2021-08-28,1949
2021-08-29,1914
2021-08-30,1916
2021-08-31,1917
2021-09-01,1956
2021-09-02,1914
2021-09-03,1913
2021-09-04,1975
2021-09-05,1923
2021-09-06,1914
2021-09-07,1896
2021-09-08,1897
2021-09-09,1894
2021-09-10,1877
2021-09-11,1894
2021-09-12,1838
2021-09-13,1847
2021-09-14,1857
2021-09-15,1837
2021-09-16,1843
2021-09-17,1839
2021-09-18,1863
2021-09-19,1742
2021-09-20,1803
2021-09-21,1843
2021-09-22,1801
2021-09-23,1817
2021-09-24,1819
2021-09-25,1885
2021-09-26,1844
2021-09-27,1797
2021-09-28,1826
2021-09-29,1806
2021-09-30,1769
2021-10-01,1790
2021-10-02,1840
2021-10-03,1838
2021-10-04,1864
2021-10-05,1850
2021-10-06,1928
2021-10-07,1866
2021-10-08,1830
2021-10-09,1828
2021-10-10,1827
2021-10-11,1877
2021-10-12,1928
2021-10-13,1892
2021-10-14,1875
2021-10-15,1848
2021-10-16,1841
2021-10-17,1832
2021-10-18,1822
2021-10-19,1817
2021-10-20,1797
2021-10-21,1902
2021-10-22,1815
2021-10-23,1851
2021-10-24,1925
2021-10-25,1949
2021-10-26,1903
2021-10-27,1914
2021-10-28,1932
2021-10-29,1930
2021-10-30,1915
2021-10-31,1898
2021-11-01,1881
2021-11-02,1832
2021-11-03,1870
2021-11-04,1885
2021-11-05,1884
2021-11-06,1885
2021-11-07,1941
2021-11-08,1926
2021-11-09,1896
2021-11-10,1888
2021-11-11,1877
2021-11-12,1874
2021-11-13,1880
2021-11-14,1894
2021-11-15,1958
2021-11-16,1848
2021-11-17,1820
2021-11-18,1856
2021-11-19,1900
2021-11-20,1868
2021-11-21,1886
2021-11-22,1917
2021-11-23,1936
2021-11-24,1937
2021-11-25,1913
2021-11-26,2001
2021-11-27,2030
2021-11-28,1913
2021-11-29,1954
2021-11-30,1944
2021-12-01,1937
2021-12-02,1903
2021-12-03,2053
2021-12-04,2000
2021-12-05,2001
2021-12-06,2055
2021-12-07,1978
2021-12-08,2039
2021-12-09,2075
2021-12-10,2092
2021-12-11,2052
2021-12-12,2098
2021-12-13,2174
2021-12-14,2138
2021-12-15,2075
2021-12-16,1999
2021-12-17,1955
2021-12-18,1943
2021-12-19,1982
2021-12-20,2262
2021-12-21,2044
2021-12-22,1997
2021-12-23,1983
2021-12-24,1962
2021-12-25,1929
2021-12-26,1881
2021-12-27,1868
2021-12-28,1869
2021-12-29,1866
2021-12-30,1800
2021-12-31,1809
2022-01-01,1822
2022-01-02,1821
2022-01-03,1812
2022-01-04,1842
2022-01-05,1799
2022-01-06,1795
2022-01-07,1799
2022-01-08,1824
2022-01-09,1835
2022-01-10,1834
2022-01-11,1821
2022-01-12,1862
2022-01-13,1937
2022-01-14,1976
2022-01-15,1988
2022-01-16,1965
2022-01-17,1921
2022-01-18,1897
2022-01-19,1951
2022-01-20,2085
2022-01-21,2296
2022-01-22,2082
2022-01-23,2098
2022-01-24,2161
2022-01-25,2093
2022-01-26,2036
2022-01-27,1941
2022-01-28,1929
2022-01-29,1982
2022-01-30,2086
2022-01-31,2049
2022-02-01,2036
2022-02-02,2027
2022-02-03,2027
2022-02-04,2011
2022-02-05,2015
2022-02-06,2092
2022-02-07,2107
2022-02-08,2100
2022-02-09,2040
2022-02-10,1986
2022-02-11,1976
2022-02-12,1944
2022-02-13,1921
2022-02-14,1945
2022-02-15,1895
2022-02-16,1939
2022-02-17,1972
2022-02-18,1946
2022-02-19,1934
2022-02-20,1913
2022-02-21,1852
2022-02-22,1861
2022-02-23,1900
2022-02-24,1884
2022-02-25,1890
2022-02-26,1881
2022-02-27,1879
2022-02-28,1874
2022-03-01,1947
2022-03-02,1937
2022-03-03,1911
2022-03-04,1918
2022-03-05,1918
2022-03-06,1952
2022-03-07,1978
2022-03-08,1980
2022-03-09,1963
2022-03-10,2064
2022-03-11,2007
2022-03-12,1962
2022-03-13,1953
2022-03-14,1960
2022-03-15,2152
2022-03-16,1942
2022-03-17,2010
2022-03-18,2016
2022-03-19,2018
2022-03-20,2039
2022-03-21,2008
2022-03-22,1994
2022-03-23,1992
2022-03-24,2065
2022-03-25,2095
2022-03-26,2032
2022-03-27,2026
2022-03-28,2038
2022-03-29,2045
2022-03-30,1998
2022-03-31,1953
2022-04-01,1976
2022-04-02,1976
2022-04-03,2038
2022-04-04,1984
2022-04-05,1960
2022-04-06,1950
2022-04-07,1941
2022-04-08,1962
2022-04-09,1926
2022-04-10,1882
2022-04-11,1904
2022-04-12,1861
2022-04-13,1901
2022-04-14,1894
2022-04-15,1901
2022-04-16,1871
2022-04-17,1889
2022-04-18,1892
2022-04-19,1890
2022-04-20,1867
2022-04-21,1883
2022-04-22,1939
2022-04-23,1969
2022-04-24,1928
2022-04-25,1887
2022-04-26,1899
2022-04-27,1889
2022-04-28,1866
2022-04-29,1847
2022-04-30,1885
2022-05-01,1921
2022-05-02,1929
2022-05-03,1784
2022-05-04,1908
2022-05-05,1912
2022-05-06,1842
2022-05-07,1869
2022-05-08,1862
2022-05-09,1844
2022-05-10,1873
2022-05-11,1950
2022-05-12,1907
2022-05-13,1916
2022-05-14,1880
2022-05-15,1875
2022-05-16,1870
2022-05-17,1878
2022-05-18,2020
2022-05-19,1998
2022-05-20,1998
2022-05-21,2037
2022-05-22,2003
2022-05-23,1995
2022-05-24,1988
2022-05-25,1942
2022-05-26,1926
2022-05-27,1963
2022-05-28,1911
2022-05-29,1885
2022-05-30,1898
2022-05-31,1863
2022-06-01,1878
2022-06-02,1881
2022-06-03,1855
2022-06-04,1851
2022-06-05,1862
2022-06-06,1822
2022-06-07,1814
2022-06-08,1809
2022-06-09,1805
2022-06-10,1802
2022-06-11,1885
2022-06-12,1862
2022-06-13,1832
2022-06-14,1874
2022-06-15,1853
2022-06-16,1873
2022-06-17,1879
2022-06-18,1893
2022-06-19,1911
2022-06-20,1851
2022-06-21,1824
2022-06-22,1799
2022-06-23,1794
2022-06-24,1819
2022-06-25,1851
2022-06-26,1791
2022-06-27,1783
2022-06-28,1825
2022-06-29,1832
2022-06-30,1887
2022-07-01,1841
2022-07-02,1788
2022-07-03,1789
2022-07-04,1767
2022-07-05,1782
2022-07-06,1852
2022-07-07,1726
2022-07-08,1803
2022-07-09,1812
2022-07-10,1850
2022-07-11,1834
2022-07-12,1847
2022-07-13,1842
2022-07-14,1899
2022-07-15,1895
2022-07-16,1887
2022-07-17,1917
2022-07-18,1946
2022-07-19,1897
2022-07-20,1865
2022-07-21,1825
2022-07-22,1801
2022-07-23,1771
2022-07-24,1786
2022-07-25,1763
2022-07-26,1830
2022-07-27,1871
2022-07-28,1833
2022-07-29,1860
2022-07-30,1805
2022-07-31,1786
2022-08-01,1929
2022-08-02,1903
2022-08-03,1860
2022-08-04,1904
2022-08-05,1924
2022-08-06,1853
2022-08-07,1836
2022-08-08,1812
2022-08-09,1808
2022-08-10,1801
2022-08-11,1802
2022-08-12,1848
2022-08-13,1786
2022-08-14,1830
2022-08-15,1863
2022-08-16,1831
2022-08-17,1804
2022-08-18,1794
2022-08-19,1788
2022-08-20,1803
2022-08-21,1795
2022-08-22,1791
2022-08-23,1815
2022-08-24,1804
2022-08-25,1812
2022-08-26,1828
2022-08-27,1823
2022-08-28,1884
2022-08-29,1906
2022-08-30,1863
2022-08-31,1890
2022-09-01,1886
2022-09-02,1915
2022-09-03,2048
2022-09-04,1984
2022-09-05,1921
2022-09-06,1901
2022-09-07,1901
2022-09-08,1854
2022-09-09,1848
2022-09-10,1827
2022-09-11,1827
2022-09-12,1811
2022-09-13,1824
2022-09-14,1845
2022-09-15,1828
2022-09-16,1862
2022-09-17,1879
2022-09-18,1808
2022-09-19,1788
2022-09-20,1772
2022-09-21,1822
2022-09-22,1777
2022-09-23,1790
2022-09-24,1848
2022-09-25,1829
2022-09-26,1800
2022-09-27,1796
2022-09-28,1812
2022-09-29,1809
2022-09-30,1800
2022-10-01,1861
2022-10-02,1809
2022-10-03,1768
2022-10-04,1787
2022-10-05,1808
2022-10-06,1802
2022-10-07,1773
2022-10-08,1834
2022-10-09,1829
2022-10-10,1814
2022-10-11,1823
2022-10-12,1797
2022-10-13,1795
2022-10-14,1799
2022-10-15,1808
2022-10-16,1784
2022-10-17,1764
2022-10-18,1771
2022-10-19,1790
2022-10-20,1783
2022-10-21,1783
2022-10-22,1788
2022-10-23,1811
2022-10-24,1854
2022-10-25,1795
2022-10-26,1790
2022-10-27,1804
2022-10-28,1796
2022-10-29,1831
2022-10-30,1825
2022-10-31,1865
2022-11-01,1822
2022-11-02,1846
2022-11-03,1835
2022-11-04,1817
2022-11-05,1818
2022-11-06,1819
2022-11-07,1797
2022-11-08,1844
2022-11-09,1803
2022-11-10,1795
2022-11-11,1812
2022-11-12,1886
2022-11-13,1916
2022-11-14,1915
2022-11-15,1906
2022-11-16,1883
2022-11-17,1867
2022-11-18,1871
2022-11-19,1853
2022-11-20,1829
2022-11-21,1799
2022-11-22,1878
2022-11-23,1898
2022-11-24,1876
2022-11-25,1881
