date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-10-10,6884,1565,0,2796,1860,1432,2356,1156,0,209,219,78,64,199,45,978,1342,29294,1,2121,2,500,0,0
2020-10-11,4596,98,134,1668,198,0,1071,3130,4840,1743,45,1201,13,1280,1361,2167,5098,1274,34,5330,877,0,67,0
2020-10-12,200,300,6172,5094,150,20,47,1802,3565,49,57,2525,3184,78,2086,0,926,3401,1293,798,107,514,3,1007
2020-10-13,111,7892,700,0,2290,3426,71,2350,2683,1326,1000,2153,730,110,1102,13,1992,16311,625,0,1835,1547,100,163
2020-10-14,0,269,0,64,319,1652,0,253,5453,0,4692,0,404,600,50,1351,2918,1374,2768,4671,2187,3,1300,7
2020-10-15,4119,5530,76,293,6112,2156,3830,3044,70,21,2963,44041,3760,1540,4399,1993,3178,3062,5166,0,160,14,8,53
2020-10-16,211,0,149,653,45230,2363,2730,0,47,162,25,725,1468,1753,2002,874,950,539,7159,11586,2681,0,1040,163
2020-10-17,312,100,4325,245,1317,0,310,2119,76,6983,221,26,1148,2902,328,8,2617,919,312,441,117,7058,560,100
2020-10-18,8059,71,1103,1300,62,500,4024,176,309,1636,240,965,0,7192,10,520,450,58,1226,38,2984,1050,2461,760
2020-10-19,1212,3097,3572,8556,1246,2745,598,251,47,0,100,3000,5684,2201,13180,208,3168,73986,93,671,1409,106868,11489,65
2020-10-20,1029,3110,80,161,1693,900,2018,0,1171,17,1965,0,1150,5582,11,1954,1117,652,55,822,6145,3836,1758,631
2020-10-21,2900,0,24,336,322,110,7212,100,130,1197,1165,133,2808,296,1477,9250,130,0,2757,1063,1642,4638,1739,76
2020-10-22,16823,2247,543,1104,195,835,0,2023,6499,6300,391,435,390,4934,52,1930,111,104,41252,506,250,0,32,3487
2020-10-23,4469,11,3689,40,48,678,1091,514,210,3165,371,2715,5820,1015,7552,844,3706,7192,1883,0,276,8711,43,608
2020-10-24,190,7928,2661,0,1,33,1584,107,70,957,238,300,40533,47,53,0,51,2553,12,276,68,0,257,0
2020-10-25,1459,1114,274,24,933,1687,4619,528,288,202,696,1500,1110,511,3341,140,2945,10,1305,10196,4900,0,5297,1000
2020-10-26,951,7730,5996,2062,382,5121,14799,71,0,710,7279,2187,31025,1685,6763,12314,552,518,1355,2470,1388,3182,1200,27937
2020-10-27,17446,3108,2535,10073,491,0,175,31,794,0,51,6150,12891,792,179,12,9832,2228,3068,0,281,175,14064,69
2020-10-28,1644,51,416,1540,2467,2012,768,1198,2603,21001,700,396,2778,905,326,0,231,400,4014,373,48,50,673,3594
2020-10-29,10060,1616,400,149,79,405,3064,463,1232,2,2148,137,1932,1505,976,9244,1596,560,1138,445,3,1204,6120,36
2020-10-30,190,50,0,1630,1094,257,0,0,2360,0,877,92,72,5455,2714,389,6050,209,25,516,1305,1010,2260,11283
2020-10-31,5613,1295,1679,2944,397,0,594,505,5000,1333,3063,1708,2449,38,12601,2485,1199,23341,1300,5670,169,816,64,645
2020-11-01,920,0,0,0,2005,135,0,604,0,0,117,0,579,705,50,0,40,0,3160,1233,2685,271,548,7200
2020-11-02,120,2189,701,525,58,4642,101,236,0,3247,445,120,153,1682,61,500,753,43,3480,2941,2716,3179,153,20
2020-11-03,1247,750,6000,0,25,400,0,227,2201,7250,9861,3010,1438,53,717,579,584,9,1492,2177,1630,0,144,2019
