date,food buy
2021-06-13,6977183
2021-06-14,7524555
2021-06-15,1521884
2021-06-16,4224905
2021-06-17,11019957
2021-06-18,4824043
2021-06-19,5144545
2021-06-20,4235136
2021-06-21,11808278
2021-06-22,4352356
2021-06-23,9682370
2021-06-24,9956774
2021-06-25,7982322
2021-06-26,9172457
2021-06-27,13662322
2021-06-28,4299754
2021-06-29,9481602
2021-06-30,2824912
2021-07-01,8799991
2021-07-02,4360224
2021-07-03,4628861
2021-07-04,6184160
2021-07-05,7940942
2021-07-06,7095075
2021-07-07,11824386
2021-07-08,8113808
2021-07-09,9003013
2021-07-10,5332060
2021-07-11,10845371
2021-07-12,4244945
2021-07-13,12137105
2021-07-14,4722770
2021-07-15,7838133
2021-07-16,5974094
2021-07-17,6645611
2021-07-18,5958532
2021-07-19,16038578
2021-07-20,4922125
2021-07-21,7220298
2021-07-22,6234526
2021-07-23,5699676
2021-07-24,3346950
2021-07-25,50287281
2021-07-26,6336344
2021-07-27,8207199
2021-07-28,4516678
2021-07-29,11135288
2021-07-30,6285238
2021-07-31,8505407
2021-08-01,12003233
2021-08-02,14786157
2021-08-03,5456867
2021-08-04,7732760
2021-08-05,10054378
2021-08-06,9910351
2021-08-07,6584895
2021-08-08,8907002
2021-08-09,9949841
2021-08-10,7079814
2021-08-11,7929536
2021-08-12,4289875
2021-08-13,6954048
2021-08-14,5929411
2021-08-15,5557741
2021-08-16,7390684
2021-08-17,3592625
2021-08-18,7944449
2021-08-19,2935326
2021-08-20,2677781
2021-08-21,2687252
2021-08-22,618789
2021-08-23,368726
2021-08-24,1014984
2021-08-25,4309681
2021-08-26,5789395
2021-08-27,1035810
2021-08-28,1336803
2021-08-29,8953179
2021-08-30,342097
2021-08-31,5063082
2021-09-01,2120948
2021-09-02,2021175
2021-09-03,4402698
2021-09-04,953786
2021-09-05,731370
2021-09-06,1115038
2021-09-07,754140
2021-09-08,834946
2021-09-09,573011
2021-09-10,1334100
2021-09-11,4113366
2021-09-12,1073123
2021-09-13,1423333
2021-09-14,1984528
2021-09-15,2251396
2021-09-16,3590624
2021-09-17,8356628
2021-09-18,2428002
2021-09-19,3313483
2021-09-20,4428187
2021-09-21,5244351
2021-09-22,3524181
2021-09-23,1696380
2021-09-24,3924124
2021-09-25,3582480
2021-09-26,2881299
2021-09-27,5365652
2021-09-28,4555409
2021-09-29,4198203
2021-09-30,4337069
2021-10-01,8726335
2021-10-02,2212201
2021-10-03,6430104
2021-10-04,3991458
2021-10-05,1967452
2021-10-06,3957632
2021-10-07,2956432
2021-10-08,4598866
2021-10-09,8542185
2021-10-10,3545036
2021-10-11,5492305
2021-10-12,4432279
2021-10-13,3375896
2021-10-14,6261281
2021-10-15,7357108
2021-10-16,5542113
2021-10-17,3656131
2021-10-18,9608539
2021-10-19,10721871
2021-10-20,4012809
2021-10-21,4332899
2021-10-22,6019183
2021-10-23,5752898
2021-10-24,9035198
2021-10-25,4604903
2021-10-26,6677508
2021-10-27,4984509
2021-10-28,8186852
2021-10-29,5638156
2021-10-30,6331777
2021-10-31,4546612
2021-11-01,9716788
2021-11-02,6341210
2021-11-03,7098526
2021-11-04,10458449
2021-11-05,8636836
2021-11-06,3074930
2021-11-07,11039169
2021-11-08,9252408
2021-11-09,8155728
2021-11-10,5744272
2021-11-11,7307729
2021-11-12,6266233
2021-11-13,4903741
2021-11-14,13074424
2021-11-15,6183330
2021-11-16,6926055
2021-11-17,5687836
2021-11-18,7878148
2021-11-19,12752852
2021-11-20,12773277
2021-11-21,18750744
2021-11-22,4135570
2021-11-23,9316632
2021-11-24,3477026
2021-11-25,5084194
2021-11-26,6593934
2021-11-27,14870451
2021-11-28,4894073
2021-11-29,6075085
2021-11-30,10646201
2021-12-01,7600419
2021-12-02,4195356
2021-12-03,9312857
2021-12-04,5336160
2021-12-05,12063524
2021-12-06,6502419
2021-12-07,7508299
2021-12-08,8332618
2021-12-09,6799818
2021-12-10,6331756
2021-12-11,4427882
2021-12-12,6608050
2021-12-13,4773452
2021-12-14,4044730
2021-12-15,2897085
2021-12-16,672277
2021-12-17,3041395
2021-12-18,449368
2021-12-19,4337252
2021-12-20,872454
2021-12-21,4970382
2021-12-22,1245329
2021-12-23,2681550
2021-12-24,2769693
2021-12-25,1330339
2021-12-26,319339
2021-12-27,5250173
2021-12-28,1395336
2021-12-29,2542464
2021-12-30,4799995
2021-12-31,3321425
2022-01-01,6368227
2022-01-02,1974605
2022-01-03,1728609
2022-01-04,2872797
2022-01-05,2325749
2022-01-06,4912912
2022-01-07,2933164
2022-01-08,3544910
2022-01-09,3556413
2022-01-10,9454369
2022-01-11,4929953
2022-01-12,3289760
2022-01-13,5024033
2022-01-14,7916609
2022-01-15,4531933
2022-01-16,3286725
2022-01-17,13191344
2022-01-18,5353622
2022-01-19,6843442
2022-01-20,5992713
2022-01-21,2363566
2022-01-22,3865033
2022-01-23,3448766
2022-01-24,1192092
2022-01-25,5279204
2022-01-26,405040
2022-01-27,521279
2022-01-28,2189262
2022-01-29,1201667
2022-01-30,2525531
2022-01-31,1381161
2022-02-01,1207021
2022-02-02,2276835
2022-02-03,6573318
2022-02-04,3854294
2022-02-05,419140
2022-02-06,4308239
2022-02-07,630495
2022-02-08,2321118
2022-02-09,2284840
2022-02-10,357825
2022-02-11,3349455
2022-02-12,1336888
2022-02-13,3609836
2022-02-14,4147053
2022-02-15,5136150
2022-02-16,2971232
2022-02-17,1566898
2022-02-18,5505214
2022-02-19,4034675
2022-02-20,6336667
2022-02-21,4114350
2022-02-22,6001805
2022-02-23,3656797
2022-02-24,3559312
2022-02-25,5181444
2022-02-26,3594455
2022-02-27,5093603
2022-02-28,5897896
2022-03-01,5924681
2022-03-02,9205836
2022-03-03,9011821
2022-03-04,9187017
2022-03-05,8943044
2022-03-06,11347607
2022-03-07,8283595
2022-03-08,9483822
2022-03-09,8366720
2022-03-10,7902555
2022-03-11,15572547
2022-03-12,8557120
2022-03-13,7302793
2022-03-14,9078294
2022-03-15,7821881
2022-03-16,4463625
2022-03-17,4681033
2022-03-18,4663961
2022-03-19,11066994
2022-03-20,4616637
2022-03-21,6233384
2022-03-22,7883742
2022-03-23,2297037
2022-03-24,5048825
2022-03-25,5199257
2022-03-26,4758863
2022-03-27,6011369
2022-03-28,4933081
2022-03-29,6355925
2022-03-30,3551483
2022-03-31,5800969
2022-04-01,5629770
2022-04-02,7445672
2022-04-03,8911709
2022-04-04,5915815
2022-04-05,3620991
2022-04-06,5753780
2022-04-07,6890997
2022-04-08,10427371
2022-04-09,5490734
2022-04-10,6882637
2022-04-11,4573752
2022-04-12,7548193
2022-04-13,4544554
2022-04-14,4523099
2022-04-15,11059834
2022-04-16,9211937
2022-04-17,7862259
2022-04-18,9061484
2022-04-19,6814336
2022-04-20,6697361
2022-04-21,10322459
2022-04-22,9941654
2022-04-23,11881315
2022-04-24,6726008
2022-04-25,8989670
2022-04-26,7218359
2022-04-27,12308387
2022-04-28,8932876
2022-04-29,6229966
2022-04-30,6557304
2022-05-01,6443714
2022-05-02,6263304
2022-05-03,6517176
2022-05-04,8031974
2022-05-05,8745684
2022-05-06,5452432
2022-05-07,7527328
2022-05-08,9022901
2022-05-09,13057510
2022-05-10,12715723
2022-05-11,6122037
2022-05-12,13160569
2022-05-13,5179021
2022-05-14,9557436
2022-05-15,5292596
2022-05-16,9192426
2022-05-17,17191733
2022-05-18,7353498
2022-05-19,9696426
2022-05-20,4317576
2022-05-21,10858328
2022-05-22,2569121
2022-05-23,4377653
2022-05-24,5997846
2022-05-25,5109750
2022-05-26,984176
2022-05-27,2957314
2022-05-28,1128610
2022-05-29,5619012
2022-05-30,2224972
2022-05-31,7067562
2022-06-01,3929431
2022-06-02,5061605
2022-06-03,1113294
2022-06-04,5208967
2022-06-05,3213998
2022-06-06,3049249
2022-06-07,4004313
2022-06-08,1840875
2022-06-09,5870478
2022-06-10,3718916
2022-06-11,6537992
2022-06-12,5830604
2022-06-13,6014126
2022-06-14,3028140
2022-06-15,5147072
2022-06-16,4949764
2022-06-17,2461473
2022-06-18,2855193
2022-06-19,8162786
2022-06-20,1890920
2022-06-21,2728779
2022-06-22,3427883
2022-06-23,4041346
2022-06-24,5028644
2022-06-25,2620912
2022-06-26,3286763
2022-06-27,5193196
2022-06-28,4318447
2022-06-29,3349245
2022-06-30,2641851
2022-07-01,3954812
2022-07-02,1513185
2022-07-03,492605
2022-07-04,2535597
2022-07-05,2244925
2022-07-06,3254857
2022-07-07,2696958
2022-07-08,4825586
2022-07-09,1857215
2022-07-10,2283589
2022-07-11,1079738
2022-07-12,3347758
2022-07-13,5897073
2022-07-14,4095670
2022-07-15,3354170
2022-07-16,4280501
2022-07-17,6881440
2022-07-18,3717933
2022-07-19,4559549
2022-07-20,1621791
2022-07-21,5408868
2022-07-22,3713058
2022-07-23,1499968
2022-07-24,3148257
2022-07-25,6006930
2022-07-26,8592884
2022-07-27,1288784
2022-07-28,6355049
2022-07-29,2183863
2022-07-30,2021369
2022-07-31,4119399
2022-08-01,10590894
2022-08-02,4916118
2022-08-03,3112447
2022-08-04,3497554
2022-08-05,3831946
2022-08-06,6458368
2022-08-07,9620542
2022-08-08,4613010
2022-08-09,4994253
2022-08-10,5581620
2022-08-11,6131914
2022-08-12,2496064
2022-08-13,3923165
2022-08-14,5641924
2022-08-15,8243893
2022-08-16,5887609
2022-08-17,9281073
2022-08-18,7894645
2022-08-19,2987623
2022-08-20,5912602
2022-08-21,4197301
2022-08-22,6573398
2022-08-23,8282803
2022-08-24,4848796
2022-08-25,6535616
2022-08-26,5900330
2022-08-27,7067256
2022-08-28,5466299
2022-08-29,5602496
2022-08-30,4754506
2022-08-31,5476910
2022-09-01,10765876
2022-09-02,3549381
2022-09-03,3783351
2022-09-04,4379643
2022-09-05,3000424
2022-09-06,3467363
2022-09-07,3402718
2022-09-08,3915359
2022-09-09,2853973
2022-09-10,4621810
2022-09-11,3047527
2022-09-12,5069157
2022-09-13,3234946
2022-09-14,3846531
2022-09-15,2341768
2022-09-16,4092222
2022-09-17,4511891
2022-09-18,8710318
2022-09-19,3489179
2022-09-20,3211484
2022-09-21,4597738
2022-09-22,6483991
2022-09-23,5414604
2022-09-24,3758446
2022-09-25,4202037
2022-09-26,6008363
2022-09-27,5705211
2022-09-28,3272462
2022-09-29,3330858
2022-09-30,3624340
2022-10-01,8189402
2022-10-02,5439250
2022-10-03,5877531
2022-10-04,4475850
2022-10-05,6740357
2022-10-06,3824759
2022-10-07,3267696
2022-10-08,9159778
2022-10-09,11787410
2022-10-10,6576820
2022-10-11,10260215
2022-10-12,9797923
2022-10-13,7490338
2022-10-14,6527647
2022-10-15,7365674
2022-10-16,10338992
2022-10-17,6761485
2022-10-18,8302943
2022-10-19,5506020
2022-10-20,11374886
2022-10-21,10550568
2022-10-22,9031663
2022-10-23,11668544
2022-10-24,8047413
2022-10-25,16071448
2022-10-26,7091349
2022-10-27,7917307
2022-10-28,11286596
2022-10-29,7406377
2022-10-30,8020643
2022-10-31,8602167
2022-11-01,8361722
2022-11-02,8914951
2022-11-03,7616965
2022-11-04,8437791
2022-11-05,6289110
2022-11-06,10047801
2022-11-07,8468952
2022-11-08,6076659
2022-11-09,14829967
2022-11-10,5850062
2022-11-11,10026366
2022-11-12,6728379
2022-11-13,5307224
2022-11-14,10370902
2022-11-15,7428020
2022-11-16,9397028
2022-11-17,4039774
2022-11-18,9457215
2022-11-19,5414253
2022-11-20,8608428
2022-11-21,3314619
2022-11-22,1603631
2022-11-23,9054945
2022-11-24,2243593
2022-11-25,3981105
2022-11-26,1078640
2022-11-27,4023231
2022-11-28,1447079
2022-11-29,353903
2022-11-30,784053
2022-12-01,3050986
2022-12-02,878031
2022-12-03,9213546
2022-12-04,1907238
2022-12-05,2115665
2022-12-06,2704998
2022-12-07,295274
2022-12-08,3902757
2022-12-09,532636
2022-12-10,2990346
2022-12-11,4958100
2022-12-12,4189219
2022-12-13,3009318
2022-12-14,7935943
2022-12-15,2153877
2022-12-16,2958952
2022-12-17,3438786
2022-12-18,2964203
2022-12-19,3864352
2022-12-20,3480454
2022-12-21,3890781
2022-12-22,3612769
2022-12-23,2601166
2022-12-24,1567421
2022-12-25,2241562
2022-12-26,7130406
2022-12-27,3049835
2022-12-28,1410724
2022-12-29,4349195
2022-12-30,1430562
2022-12-31,4081111
2023-01-01,5280863
2023-01-02,3517608
2023-01-03,4925314
2023-01-04,3793625
2023-01-05,2546472
2023-01-06,817496
2023-01-07,3998499
2023-01-08,1832437
2023-01-09,3523679
2023-01-10,2759569
2023-01-11,964592
2023-01-12,863035
2023-01-13,3385101
2023-01-14,1442219
2023-01-15,4109153
2023-01-16,2275617
2023-01-17,1166006
2023-01-18,426820
2023-01-19,1724367
2023-01-20,2029842
2023-01-21,3504641
2023-01-22,3925787
2023-01-23,3247526
2023-01-24,3761640
2023-01-25,3657320
2023-01-26,4174834
2023-01-27,4543247
2023-01-28,3104022
2023-01-29,4183355
2023-01-30,4536725
2023-01-31,9167793
2023-02-01,5059866
2023-02-02,4972432
2023-02-03,5418010
2023-02-04,6159642
2023-02-05,6869918
2023-02-06,6566564
2023-02-07,8465854
2023-02-08,7673752
2023-02-09,4666887
2023-02-10,7758892
2023-02-11,5535053
2023-02-12,9152294
2023-02-13,6388294
2023-02-14,9003730
2023-02-15,2624524
2023-02-16,10894126
2023-02-17,10962232
2023-02-18,11209467
2023-02-19,11994620
2023-02-20,8411385
2023-02-21,7723556
2023-02-22,8083099
2023-02-23,6884907
2023-02-24,11660675
2023-02-25,8183855
2023-02-26,8424572
2023-02-27,16648507
2023-02-28,27164662
2023-03-01,23664103
2023-03-02,13769089
2023-03-03,7915530
2023-03-04,15183013
2023-03-05,15766743
2023-03-06,6509768
2023-03-07,10179087
2023-03-08,14191978
2023-03-09,17373214
2023-03-10,16917986
2023-03-11,16864140
2023-03-12,13622801
2023-03-13,20979508
2023-03-14,12680479
2023-03-15,14574484
2023-03-16,9659353
2023-03-17,15128381
2023-03-18,20558198
