date,steel buy
2021-07-10,222536
2021-07-11,158300
2021-07-12,49734
2021-07-13,59939
2021-07-14,99018
2021-07-15,94194
2021-07-16,132491
2021-07-17,129099
2021-07-18,163699
2021-07-19,171908
2021-07-20,166466
2021-07-21,79874
2021-07-22,126982
2021-07-23,80890
2021-07-24,157594
2021-07-25,280179
2021-07-26,216076
2021-07-27,199189
2021-07-28,67334
2021-07-29,115074
2021-07-30,145998
2021-07-31,271333
2021-08-01,158907
2021-08-02,215663
2021-08-03,70832
2021-08-04,119592
2021-08-05,185117
2021-08-06,110631
2021-08-07,147828
2021-08-08,206648
2021-08-09,208960
2021-08-10,113584
2021-08-11,272002
2021-08-12,141828
2021-08-13,168052
2021-08-14,212621
2021-08-15,91854
2021-08-16,237548
2021-08-17,117799
2021-08-18,164941
2021-08-19,138911
2021-08-20,169093
2021-08-21,125466
2021-08-22,63366
2021-08-23,131910
2021-08-24,51730
2021-08-25,141821
2021-08-26,107192
2021-08-27,144508
2021-08-28,99571
2021-08-29,76900
2021-08-30,158801
2021-08-31,38181
2021-09-01,180302
2021-09-02,161541
2021-09-03,140875
2021-09-04,104657
2021-09-05,216143
2021-09-06,76720
2021-09-07,132244
2021-09-08,156275
2021-09-09,102477
2021-09-10,82864
2021-09-11,176210
2021-09-12,92225
2021-09-13,339980
2021-09-14,135686
2021-09-15,161615
2021-09-16,229005
2021-09-17,209998
2021-09-18,338598
2021-09-19,266407
2021-09-20,258820
2021-09-21,243058
2021-09-22,169127
2021-09-23,128429
2021-09-24,158739
2021-09-25,155070
2021-09-26,193349
2021-09-27,172201
2021-09-28,158106
2021-09-29,247542
2021-09-30,143070
2021-10-01,73820
2021-10-02,123402
2021-10-03,218448
2021-10-04,194378
2021-10-05,140911
2021-10-06,72320
2021-10-07,171723
2021-10-08,125179
2021-10-09,221884
2021-10-10,103249
2021-10-11,78106
2021-10-12,210360
2021-10-13,127325
2021-10-14,232636
2021-10-15,200046
2021-10-16,297134
2021-10-17,298331
2021-10-18,323014
2021-10-19,165379
2021-10-20,111757
2021-10-21,404003
2021-10-22,119145
2021-10-23,148015
2021-10-24,205746
2021-10-25,283097
2021-10-26,147134
2021-10-27,118874
2021-10-28,220392
2021-10-29,143669
2021-10-30,343975
2021-10-31,200820
2021-11-01,183740
2021-11-02,156962
2021-11-03,175168
2021-11-04,151154
2021-11-05,136895
2021-11-06,259712
2021-11-07,120773
2021-11-08,395731
2021-11-09,82682
2021-11-10,100933
2021-11-11,219590
2021-11-12,114886
2021-11-13,135608
2021-11-14,92871
2021-11-15,252473
2021-11-16,81828
2021-11-17,87181
2021-11-18,116797
2021-11-19,115581
2021-11-20,313901
2021-11-21,166165
2021-11-22,310824
2021-11-23,141322
2021-11-24,92521
2021-11-25,252394
2021-11-26,127913
2021-11-27,102075
2021-11-28,101489
2021-11-29,165096
2021-11-30,153554
2021-12-01,223521
2021-12-02,158133
2021-12-03,123641
2021-12-04,177622
2021-12-05,117032
2021-12-06,113062
2021-12-07,35749
2021-12-08,244473
2021-12-09,205698
2021-12-10,216838
2021-12-11,196648
2021-12-12,224247
2021-12-13,416864
2021-12-14,77391
2021-12-15,105071
2021-12-16,74680
2021-12-17,62625
2021-12-18,81718
2021-12-19,69133
2021-12-20,157314
2021-12-21,191297
2021-12-22,96126
2021-12-23,72861
2021-12-24,134945
2021-12-25,175755
2021-12-26,146368
2021-12-27,293560
2021-12-28,159684
2021-12-29,165792
2021-12-30,310564
