date,bauxite buy
2021-07-10,22749
2021-07-11,24031
2021-07-12,46047
2021-07-13,40064
2021-07-14,24224
2021-07-15,18862
2021-07-16,69846
2021-07-17,67320
2021-07-18,61168
2021-07-19,52566
2021-07-20,48590
2021-07-21,33126
2021-07-22,24782
2021-07-23,67784
2021-07-24,35318
2021-07-25,61348
2021-07-26,24998
2021-07-27,31357
2021-07-28,34131
2021-07-29,98175
2021-07-30,49364
2021-07-31,30982
2021-08-01,43706
2021-08-02,136063
2021-08-03,41212
2021-08-04,38721
2021-08-05,30563
2021-08-06,63584
2021-08-07,29193
2021-08-08,21715
2021-08-09,72412
2021-08-10,55710
2021-08-11,97241
2021-08-12,38476
2021-08-13,39341
2021-08-14,35904
2021-08-15,116265
2021-08-16,48630
2021-08-17,62120
2021-08-18,80655
2021-08-19,84955
2021-08-20,52505
2021-08-21,46507
2021-08-22,21835
2021-08-23,83095
2021-08-24,48956
2021-08-25,49160
2021-08-26,30479
2021-08-27,27574
2021-08-28,48961
2021-08-29,31750
2021-08-30,50367
2021-08-31,26973
2021-09-01,18915
2021-09-02,58193
2021-09-03,29538
2021-09-04,94037
2021-09-05,40048
2021-09-06,28909
2021-09-07,38232
2021-09-08,27786
2021-09-09,61044
2021-09-10,42837
2021-09-11,61190
2021-09-12,51045
2021-09-13,63445
2021-09-14,34497
2021-09-15,43422
2021-09-16,37536
2021-09-17,65051
2021-09-18,60681
2021-09-19,72510
2021-09-20,63411
2021-09-21,57834
2021-09-22,42427
2021-09-23,104850
2021-09-24,46306
2021-09-25,69876
2021-09-26,40109
2021-09-27,112815
2021-09-28,45192
2021-09-29,54293
2021-09-30,143525
2021-10-01,64970
2021-10-02,30995
2021-10-03,89584
2021-10-04,49678
2021-10-05,28816
2021-10-06,27742
2021-10-07,37328
2021-10-08,53192
2021-10-09,19794
2021-10-10,34290
2021-10-11,33687
2021-10-12,30151
2021-10-13,38133
2021-10-14,36148
2021-10-15,45656
2021-10-16,64043
2021-10-17,33787
2021-10-18,89574
2021-10-19,55328
2021-10-20,100496
2021-10-21,109019
2021-10-22,52788
2021-10-23,44792
2021-10-24,52380
2021-10-25,79653
2021-10-26,86921
2021-10-27,33219
2021-10-28,92869
2021-10-29,56705
2021-10-30,19747
2021-10-31,99016
2021-11-01,55260
2021-11-02,103240
2021-11-03,48219
2021-11-04,35780
2021-11-05,72796
2021-11-06,85290
2021-11-07,37125
2021-11-08,57282
2021-11-09,68932
2021-11-10,56858
2021-11-11,57260
2021-11-12,28016
2021-11-13,67753
2021-11-14,102330
2021-11-15,33382
2021-11-16,30684
2021-11-17,93275
2021-11-18,82398
2021-11-19,45328
2021-11-20,32039
2021-11-21,150083
2021-11-22,95521
2021-11-23,67454
2021-11-24,66987
2021-11-25,44765
2021-11-26,24801
2021-11-27,83971
2021-11-28,29421
2021-11-29,72634
2021-11-30,48696
2021-12-01,81296
2021-12-02,34957
2021-12-03,34882
2021-12-04,57510
2021-12-05,81754
2021-12-06,114618
2021-12-07,62774
2021-12-08,137755
2021-12-09,72106
2021-12-10,37585
2021-12-11,29120
2021-12-12,33746
2021-12-13,33278
2021-12-14,58267
2021-12-15,112752
2021-12-16,97931
2021-12-17,96978
2021-12-18,55693
2021-12-19,40972
2021-12-20,69465
2021-12-21,113856
2021-12-22,41641
2021-12-23,25704
2021-12-24,60731
2021-12-25,61799
2021-12-26,27645
2021-12-27,64325
2021-12-28,60301
2021-12-29,75168
2021-12-30,64165
2021-12-31,57010
2022-01-01,85958
2022-01-02,72149
2022-01-03,85295
2022-01-04,81307
2022-01-05,57695
2022-01-06,40477
2022-01-07,46486
2022-01-08,146088
2022-01-09,137317
2022-01-10,36590
2022-01-11,18923
2022-01-12,50787
2022-01-13,106086
2022-01-14,69904
2022-01-15,39307
2022-01-16,44048
2022-01-17,62312
2022-01-18,25743
2022-01-19,48288
2022-01-20,89722
2022-01-21,78299
2022-01-22,43932
2022-01-23,55011
2022-01-24,60650
2022-01-25,57479
2022-01-26,24797
2022-01-27,17333
2022-01-28,39209
2022-01-29,37371
2022-01-30,43043
2022-01-31,37082
2022-02-01,33998
2022-02-02,29127
2022-02-03,54770
2022-02-04,34033
2022-02-05,25782
2022-02-06,28180
2022-02-07,57682
2022-02-08,48124
2022-02-09,75137
2022-02-10,37799
2022-02-11,43072
2022-02-12,35732
2022-02-13,66357
2022-02-14,37126
2022-02-15,66358
2022-02-16,109831
2022-02-17,49078
2022-02-18,66093
2022-02-19,77826
2022-02-20,217709
2022-02-21,84998
2022-02-22,85523
2022-02-23,68345
2022-02-24,30700
2022-02-25,102035
2022-02-26,73039
2022-02-27,75646
2022-02-28,53214
2022-03-01,50089
2022-03-02,46324
2022-03-03,75566
2022-03-04,39566
2022-03-05,115554
2022-03-06,82445
2022-03-07,68316
2022-03-08,91673
2022-03-09,28540
2022-03-10,46528
2022-03-11,50308
2022-03-12,94486
2022-03-13,27569
2022-03-14,93401
2022-03-15,89104
2022-03-16,140264
2022-03-17,58715
2022-03-18,17901
2022-03-19,50373
2022-03-20,55985
2022-03-21,47529
2022-03-22,28889
2022-03-23,28406
2022-03-24,41970
2022-03-25,66015
2022-03-26,95141
2022-03-27,43856
2022-03-28,36757
2022-03-29,42591
2022-03-30,38278
2022-03-31,37130
2022-04-01,56732
2022-04-02,55599
2022-04-03,76114
2022-04-04,31854
2022-04-05,74301
2022-04-06,122508
2022-04-07,69004
2022-04-08,87252
2022-04-09,97541
2022-04-10,51293
2022-04-11,45187
2022-04-12,61420
2022-04-13,60360
2022-04-14,85260
2022-04-15,145130
2022-04-16,110496
2022-04-17,100257
2022-04-18,85290
2022-04-19,56668
2022-04-20,58257
2022-04-21,39211
2022-04-22,30313
2022-04-23,60484
2022-04-24,176160
2022-04-25,55976
2022-04-26,32409
2022-04-27,69080
2022-04-28,43725
2022-04-29,73603
2022-04-30,83494
2022-05-01,104850
2022-05-02,61413
2022-05-03,48417
2022-05-04,78309
2022-05-05,58223
2022-05-06,65609
2022-05-07,70187
2022-05-08,52139
2022-05-09,47862
2022-05-10,54966
2022-05-11,61445
2022-05-12,71835
2022-05-13,112732
2022-05-14,60543
2022-05-15,197712
2022-05-16,48715
2022-05-17,103720
2022-05-18,99780
2022-05-19,53615
2022-05-20,72432
2022-05-21,37277
2022-05-22,77838
2022-05-23,57724
2022-05-24,50114
2022-05-25,54911
2022-05-26,66158
2022-05-27,84760
2022-05-28,45239
2022-05-29,64903
2022-05-30,51107
2022-05-31,57252
2022-06-01,34261
2022-06-02,94027
2022-06-03,46774
2022-06-04,47877
2022-06-05,193880
2022-06-06,47647
2022-06-07,78429
2022-06-08,51750
2022-06-09,46881
2022-06-10,42112
2022-06-11,62651
2022-06-12,116868
2022-06-13,121384
2022-06-14,101251
2022-06-15,67691
2022-06-16,55438
2022-06-17,39758
2022-06-18,63310
2022-06-19,70923
2022-06-20,112745
2022-06-21,86552
2022-06-22,73831
