date,iron buy
2021-07-10,50788
2021-07-11,70899
2021-07-12,36819
2021-07-13,25004
2021-07-14,102078
2021-07-15,66315
2021-07-16,52323
2021-07-17,70573
2021-07-18,44532
2021-07-19,71398
2021-07-20,58873
2021-07-21,109578
2021-07-22,128041
2021-07-23,22554
2021-07-24,55869
2021-07-25,195513
2021-07-26,151923
2021-07-27,65240
2021-07-28,31726
2021-07-29,54382
2021-07-30,37738
2021-07-31,56367
2021-08-01,34809
2021-08-02,60741
2021-08-03,55740
2021-08-04,59384
2021-08-05,32300
2021-08-06,44900
2021-08-07,50768
2021-08-08,47960
2021-08-09,93419
2021-08-10,46692
2021-08-11,44962
2021-08-12,67593
2021-08-13,47309
2021-08-14,33282
2021-08-15,63812
2021-08-16,67417
2021-08-17,63023
2021-08-18,59806
2021-08-19,41938
2021-08-20,49010
2021-08-21,35084
2021-08-22,42621
2021-08-23,25251
2021-08-24,35962
2021-08-25,56849
2021-08-26,42251
2021-08-27,35016
2021-08-28,25682
2021-08-29,28768
2021-08-30,49935
2021-08-31,27285
2021-09-01,35608
2021-09-02,47022
2021-09-03,38276
2021-09-04,56238
2021-09-05,87804
2021-09-06,38297
2021-09-07,80894
2021-09-08,39599
2021-09-09,64310
2021-09-10,58676
2021-09-11,51076
2021-09-12,52705
2021-09-13,57874
2021-09-14,64720
2021-09-15,51633
2021-09-16,25232
2021-09-17,66627
2021-09-18,79865
2021-09-19,76073
2021-09-20,70303
2021-09-21,45263
2021-09-22,55507
2021-09-23,112611
2021-09-24,40867
2021-09-25,53485
2021-09-26,48984
2021-09-27,42135
2021-09-28,66018
2021-09-29,61326
2021-09-30,170148
2021-10-01,72938
2021-10-02,36801
2021-10-03,31944
2021-10-04,54179
2021-10-05,57754
2021-10-06,170127
2021-10-07,84861
2021-10-08,45959
2021-10-09,47461
2021-10-10,66386
2021-10-11,52694
2021-10-12,46599
2021-10-13,43597
2021-10-14,49000
2021-10-15,51814
2021-10-16,54530
2021-10-17,36911
2021-10-18,79070
2021-10-19,61748
2021-10-20,69753
2021-10-21,68491
2021-10-22,96331
2021-10-23,32015
2021-10-24,110485
2021-10-25,36779
2021-10-26,46730
2021-10-27,66859
2021-10-28,68851
2021-10-29,25794
2021-10-30,58791
2021-10-31,59883
2021-11-01,62029
2021-11-02,78759
2021-11-03,51557
