date,munitions buy
2021-07-10,124305
2021-07-11,334092
2021-07-12,43228
2021-07-13,72513
2021-07-14,115823
2021-07-15,78972
2021-07-16,137908
2021-07-17,58398
2021-07-18,81287
2021-07-19,110757
2021-07-20,61238
2021-07-21,90225
2021-07-22,73084
2021-07-23,80899
2021-07-24,145173
2021-07-25,328207
2021-07-26,211343
2021-07-27,69823
2021-07-28,184401
2021-07-29,70700
2021-07-30,181995
2021-07-31,49712
2021-08-01,194089
2021-08-02,135690
2021-08-03,79949
2021-08-04,177605
2021-08-05,148900
2021-08-06,46459
2021-08-07,120891
2021-08-08,179210
2021-08-09,44795
2021-08-10,123848
2021-08-11,226889
2021-08-12,64957
2021-08-13,140632
2021-08-14,96682
2021-08-15,127168
2021-08-16,186900
2021-08-17,229132
2021-08-18,196542
2021-08-19,234433
2021-08-20,127035
2021-08-21,130898
2021-08-22,177158
2021-08-23,77161
2021-08-24,45021
2021-08-25,158087
2021-08-26,87994
2021-08-27,176452
2021-08-28,159344
2021-08-29,67126
2021-08-30,116182
2021-08-31,43139
2021-09-01,196843
2021-09-02,363409
2021-09-03,172210
2021-09-04,167642
2021-09-05,100028
2021-09-06,103628
2021-09-07,221776
2021-09-08,112130
2021-09-09,104021
2021-09-10,185817
2021-09-11,79643
2021-09-12,220012
2021-09-13,128567
2021-09-14,160219
2021-09-15,179920
2021-09-16,136779
2021-09-17,189488
2021-09-18,203289
2021-09-19,340588
2021-09-20,287681
2021-09-21,292545
2021-09-22,152923
2021-09-23,99764
2021-09-24,136604
2021-09-25,46652
2021-09-26,197757
2021-09-27,50642
2021-09-28,91074
2021-09-29,215093
2021-09-30,122451
2021-10-01,102339
2021-10-02,67809
2021-10-03,72000
2021-10-04,74057
2021-10-05,201601
2021-10-06,421554
2021-10-07,80446
2021-10-08,68744
2021-10-09,217270
2021-10-10,73233
2021-10-11,85276
2021-10-12,245327
2021-10-13,169387
2021-10-14,478582
2021-10-15,307409
2021-10-16,243372
2021-10-17,173371
2021-10-18,164257
2021-10-19,385215
2021-10-20,129989
2021-10-21,146117
2021-10-22,94256
2021-10-23,49398
2021-10-24,246304
2021-10-25,143909
2021-10-26,157872
2021-10-27,60761
2021-10-28,135750
2021-10-29,184766
2021-10-30,113092
2021-10-31,102484
2021-11-01,402917
2021-11-02,199861
2021-11-03,75058
2021-11-04,165892
2021-11-05,201621
2021-11-06,136146
2021-11-07,128054
2021-11-08,114305
2021-11-09,120398
2021-11-10,177456
2021-11-11,245748
2021-11-12,105576
2021-11-13,173163
2021-11-14,487976
2021-11-15,270154
2021-11-16,862842
2021-11-17,83472
2021-11-18,184074
2021-11-19,148712
2021-11-20,164856
2021-11-21,134448
2021-11-22,147741
2021-11-23,152148
2021-11-24,61192
2021-11-25,75895
2021-11-26,91852
2021-11-27,392793
2021-11-28,340187
2021-11-29,110185
2021-11-30,128158
2021-12-01,267441
2021-12-02,103533
2021-12-03,93966
2021-12-04,112121
2021-12-05,128657
2021-12-06,73825
2021-12-07,390376
2021-12-08,397331
2021-12-09,80218
2021-12-10,103427
2021-12-11,169795
2021-12-12,144920
2021-12-13,211335
2021-12-14,107167
2021-12-15,570817
2021-12-16,78782
2021-12-17,183406
2021-12-18,64298
2021-12-19,123951
2021-12-20,74927
2021-12-21,211480
2021-12-22,86035
2021-12-23,82106
2021-12-24,133999
2021-12-25,119091
2021-12-26,309572
2021-12-27,101839
2021-12-28,123890
2021-12-29,469198
2021-12-30,248460
2021-12-31,75890
2022-01-01,420221
2022-01-02,208161
2022-01-03,225098
2022-01-04,278859
2022-01-05,225140
2022-01-06,361583
2022-01-07,330125
2022-01-08,487412
2022-01-09,84290
2022-01-10,245827
2022-01-11,116625
2022-01-12,86416
2022-01-13,124476
2022-01-14,86681
2022-01-15,119225
2022-01-16,313528
2022-01-17,195247
2022-01-18,199810
2022-01-19,101865
2022-01-20,87790
2022-01-21,269010
2022-01-22,244540
2022-01-23,175855
2022-01-24,182875
2022-01-25,188928
2022-01-26,50379
2022-01-27,100640
2022-01-28,60880
2022-01-29,76875
2022-01-30,76129
2022-01-31,168995
2022-02-01,162114
2022-02-02,73148
2022-02-03,163350
2022-02-04,148599
2022-02-05,97686
2022-02-06,137069
2022-02-07,171576
2022-02-08,213563
2022-02-09,105454
2022-02-10,63564
2022-02-11,272640
2022-02-12,164112
2022-02-13,119562
2022-02-14,110136
2022-02-15,413292
2022-02-16,127135
2022-02-17,258457
2022-02-18,172401
2022-02-19,166362
2022-02-20,273530
2022-02-21,214172
2022-02-22,137470
2022-02-23,107071
2022-02-24,210717
2022-02-25,149579
2022-02-26,121200
2022-02-27,171114
