date,coal buy
2021-07-10,54932
2021-07-11,62092
2021-07-12,34700
2021-07-13,63973
2021-07-14,77300
2021-07-15,39952
2021-07-16,51904
2021-07-17,56060
2021-07-18,66345
2021-07-19,56549
2021-07-20,72031
2021-07-21,58409
2021-07-22,131549
2021-07-23,33535
2021-07-24,32438
2021-07-25,42510
2021-07-26,117477
2021-07-27,35991
2021-07-28,42688
2021-07-29,36063
2021-07-30,35505
2021-07-31,70436
2021-08-01,50233
2021-08-02,102995
2021-08-03,52920
2021-08-04,61900
2021-08-05,33770
2021-08-06,85737
2021-08-07,56915
2021-08-08,53692
2021-08-09,60409
2021-08-10,44587
2021-08-11,88271
2021-08-12,53722
2021-08-13,74058
2021-08-14,65538
2021-08-15,94272
2021-08-16,63102
2021-08-17,62293
2021-08-18,60218
2021-08-19,52264
2021-08-20,69235
2021-08-21,83138
2021-08-22,38932
2021-08-23,71808
2021-08-24,47942
2021-08-25,48343
2021-08-26,58558
2021-08-27,52732
2021-08-28,26193
2021-08-29,36546
2021-08-30,48212
2021-08-31,36897
2021-09-01,36782
2021-09-02,49288
2021-09-03,49673
2021-09-04,114382
2021-09-05,98948
2021-09-06,42849
2021-09-07,95415
2021-09-08,66412
2021-09-09,46114
2021-09-10,89772
2021-09-11,42514
2021-09-12,138902
2021-09-13,58618
2021-09-14,59967
2021-09-15,46199
2021-09-16,52461
2021-09-17,65580
2021-09-18,78290
2021-09-19,108554
2021-09-20,123483
2021-09-21,65623
2021-09-22,88208
2021-09-23,83353
2021-09-24,46271
2021-09-25,69414
2021-09-26,57046
2021-09-27,65950
2021-09-28,72848
2021-09-29,119338
2021-09-30,76125
2021-10-01,72029
2021-10-02,40623
2021-10-03,47073
2021-10-04,48385
2021-10-05,56953
2021-10-06,45989
2021-10-07,120035
2021-10-08,31114
2021-10-09,33272
2021-10-10,88703
2021-10-11,167705
2021-10-12,58862
2021-10-13,29908
2021-10-14,42197
2021-10-15,116713
2021-10-16,61081
2021-10-17,40807
2021-10-18,69298
2021-10-19,62946
2021-10-20,58721
2021-10-21,91281
2021-10-22,45007
2021-10-23,50318
2021-10-24,42892
2021-10-25,78756
2021-10-26,54000
2021-10-27,108602
2021-10-28,89098
2021-10-29,91023
2021-10-30,52109
2021-10-31,55259
2021-11-01,59149
2021-11-02,68176
2021-11-03,59646
2021-11-04,88542
2021-11-05,103522
2021-11-06,53897
2021-11-07,74259
2021-11-08,100399
2021-11-09,88289
2021-11-10,64846
2021-11-11,54350
2021-11-12,43075
2021-11-13,96675
2021-11-14,59853
2021-11-15,55050
2021-11-16,45233
2021-11-17,108112
2021-11-18,52529
2021-11-19,45653
2021-11-20,58126
2021-11-21,71938
2021-11-22,88730
2021-11-23,99777
2021-11-24,89577
2021-11-25,88059
2021-11-26,86783
2021-11-27,100106
2021-11-28,49909
2021-11-29,83715
2021-11-30,76987
2021-12-01,115136
2021-12-02,45168
2021-12-03,52607
2021-12-04,52264
2021-12-05,116706
2021-12-06,109021
2021-12-07,98090
2021-12-08,173601
2021-12-09,153448
2021-12-10,75801
2021-12-11,54522
2021-12-12,93246
2021-12-13,44892
2021-12-14,70514
2021-12-15,55663
2021-12-16,52012
2021-12-17,45417
2021-12-18,49162
2021-12-19,48627
2021-12-20,67514
2021-12-21,175091
2021-12-22,41924
2021-12-23,138149
2021-12-24,132396
2021-12-25,65072
2021-12-26,69264
2021-12-27,78152
2021-12-28,78242
2021-12-29,94211
2021-12-30,63943
2021-12-31,57944
2022-01-01,70193
2022-01-02,109408
2022-01-03,43281
2022-01-04,61012
2022-01-05,106615
2022-01-06,46658
2022-01-07,99716
2022-01-08,80743
2022-01-09,71227
2022-01-10,52199
2022-01-11,31487
2022-01-12,259405
2022-01-13,104413
2022-01-14,61568
2022-01-15,50748
2022-01-16,56636
2022-01-17,102665
2022-01-18,69828
2022-01-19,68323
2022-01-20,66583
2022-01-21,92461
2022-01-22,185273
2022-01-23,107108
2022-01-24,50836
2022-01-25,31720
2022-01-26,60029
2022-01-27,49743
2022-01-28,55066
2022-01-29,78656
2022-01-30,52038
2022-01-31,47767
2022-02-01,74712
2022-02-02,74397
2022-02-03,96911
2022-02-04,55028
2022-02-05,50557
2022-02-06,48485
2022-02-07,86568
2022-02-08,50680
2022-02-09,78243
2022-02-10,80357
2022-02-11,68516
2022-02-12,68851
2022-02-13,71344
2022-02-14,66318
2022-02-15,100015
2022-02-16,88574
2022-02-17,101669
2022-02-18,170859
2022-02-19,113665
2022-02-20,91959
2022-02-21,102188
2022-02-22,72369
2022-02-23,73686
2022-02-24,105520
2022-02-25,132045
2022-02-26,94006
2022-02-27,88538
2022-02-28,44219
2022-03-01,99001
2022-03-02,64738
2022-03-03,64381
2022-03-04,52232
2022-03-05,106757
2022-03-06,64616
2022-03-07,57274
2022-03-08,113001
2022-03-09,132135
2022-03-10,204896
2022-03-11,136425
2022-03-12,128955
2022-03-13,89839
2022-03-14,88359
2022-03-15,110200
2022-03-16,58849
2022-03-17,106861
2022-03-18,79695
2022-03-19,73898
2022-03-20,123350
2022-03-21,86167
2022-03-22,58850
2022-03-23,75133
2022-03-24,252708
2022-03-25,131021
2022-03-26,84957
2022-03-27,92761
2022-03-28,96724
2022-03-29,85476
2022-03-30,82608
2022-03-31,65332
2022-04-01,151089
2022-04-02,55066
2022-04-03,104075
2022-04-04,128552
2022-04-05,104315
2022-04-06,71327
2022-04-07,109394
2022-04-08,131442
2022-04-09,112124
2022-04-10,79879
2022-04-11,109157
2022-04-12,88430
2022-04-13,101716
2022-04-14,66939
2022-04-15,251119
2022-04-16,143416
2022-04-17,101309
2022-04-18,95101
2022-04-19,66909
2022-04-20,104653
2022-04-21,92580
2022-04-22,91963
2022-04-23,90424
2022-04-24,108730
2022-04-25,92705
2022-04-26,130628
2022-04-27,122223
2022-04-28,92027
2022-04-29,118180
2022-04-30,147815
2022-05-01,132925
2022-05-02,110738
2022-05-03,132994
2022-05-04,182410
2022-05-05,210456
2022-05-06,125782
2022-05-07,134177
2022-05-08,118292
2022-05-09,95971
2022-05-10,93055
2022-05-11,92595
2022-05-12,104486
2022-05-13,118345
2022-05-14,144703
2022-05-15,118108
2022-05-16,121219
2022-05-17,156383
2022-05-18,220707
2022-05-19,100225
2022-05-20,135221
2022-05-21,170697
2022-05-22,120910
2022-05-23,136056
2022-05-24,73048
2022-05-25,120881
2022-05-26,134335
2022-05-27,141382
2022-05-28,133934
2022-05-29,165262
2022-05-30,111920
2022-05-31,126385
2022-06-01,74253
2022-06-02,103972
2022-06-03,95530
2022-06-04,105570
2022-06-05,107811
2022-06-06,110187
2022-06-07,172581
2022-06-08,95293
2022-06-09,110162
2022-06-10,79363
2022-06-11,167470
2022-06-12,148488
2022-06-13,148891
2022-06-14,200920
2022-06-15,189447
2022-06-16,168084
2022-06-17,128674
2022-06-18,105035
2022-06-19,147089
2022-06-20,148583
2022-06-21,102079
2022-06-22,155458
2022-06-23,129268
2022-06-24,119417
2022-06-25,94956
2022-06-26,127470
2022-06-27,123309
2022-06-28,129101
2022-06-29,133531
2022-06-30,114218
2022-07-01,113851
2022-07-02,92453
2022-07-03,67203
2022-07-04,100966
2022-07-05,66415
2022-07-06,90443
2022-07-07,122834
2022-07-08,70664
2022-07-09,81305
2022-07-10,133719
