date,gasoline buy
2021-07-10,134899
2021-07-11,116660
2021-07-12,78661
2021-07-13,91365
2021-07-14,265939
2021-07-15,156987
2021-07-16,26370
2021-07-17,113524
2021-07-18,109628
2021-07-19,263830
2021-07-20,86691
2021-07-21,251914
2021-07-22,78865
2021-07-23,92438
2021-07-24,80148
2021-07-25,273648
2021-07-26,99166
2021-07-27,87217
2021-07-28,226792
2021-07-29,87136
2021-07-30,145904
2021-07-31,86680
2021-08-01,130668
2021-08-02,43925
2021-08-03,63961
2021-08-04,329160
2021-08-05,160466
2021-08-06,74630
2021-08-07,115802
2021-08-08,62659
2021-08-09,143269
2021-08-10,76508
2021-08-11,215542
2021-08-12,119036
2021-08-13,175558
2021-08-14,122262
2021-08-15,122747
2021-08-16,150645
2021-08-17,114899
2021-08-18,106962
2021-08-19,86906
2021-08-20,136755
2021-08-21,81945
2021-08-22,94009
2021-08-23,227073
2021-08-24,40888
2021-08-25,42097
2021-08-26,232498
2021-08-27,32245
2021-08-28,104084
2021-08-29,90435
2021-08-30,75828
2021-08-31,126203
2021-09-01,82647
2021-09-02,144018
2021-09-03,57491
2021-09-04,128543
2021-09-05,169455
2021-09-06,126169
2021-09-07,107320
2021-09-08,374264
2021-09-09,45737
2021-09-10,38013
2021-09-11,84779
2021-09-12,83345
2021-09-13,138474
2021-09-14,98116
2021-09-15,58853
2021-09-16,83232
2021-09-17,179923
2021-09-18,253442
2021-09-19,194566
2021-09-20,253170
2021-09-21,115054
2021-09-22,118348
2021-09-23,40663
2021-09-24,141252
2021-09-25,134639
2021-09-26,83523
2021-09-27,88585
2021-09-28,195421
2021-09-29,186655
2021-09-30,76295
2021-10-01,74876
2021-10-02,116739
2021-10-03,268817
2021-10-04,138273
2021-10-05,125665
2021-10-06,212655
2021-10-07,77038
2021-10-08,309001
2021-10-09,189318
2021-10-10,86564
2021-10-11,115776
2021-10-12,65619
2021-10-13,51977
2021-10-14,138535
2021-10-15,145622
2021-10-16,116874
2021-10-17,188001
2021-10-18,141050
2021-10-19,111426
2021-10-20,183066
2021-10-21,150837
2021-10-22,78402
2021-10-23,128839
2021-10-24,44706
2021-10-25,137338
2021-10-26,106169
2021-10-27,268834
2021-10-28,112069
2021-10-29,159272
2021-10-30,126312
2021-10-31,81540
2021-11-01,148978
2021-11-02,254361
2021-11-03,94270
2021-11-04,155838
2021-11-05,72065
2021-11-06,143427
2021-11-07,125679
2021-11-08,98846
2021-11-09,138947
2021-11-10,135389
2021-11-11,144165
2021-11-12,306655
2021-11-13,157456
2021-11-14,81795
2021-11-15,175193
2021-11-16,67251
2021-11-17,70586
2021-11-18,172379
2021-11-19,41122
2021-11-20,106425
2021-11-21,62299
2021-11-22,118387
2021-11-23,167248
2021-11-24,128750
2021-11-25,56354
2021-11-26,102352
2021-11-27,65205
2021-11-28,142013
2021-11-29,60132
2021-11-30,111512
2021-12-01,134672
2021-12-02,146683
2021-12-03,74173
2021-12-04,121505
2021-12-05,129920
2021-12-06,163583
2021-12-07,120439
2021-12-08,153064
2021-12-09,76548
2021-12-10,194452
2021-12-11,140288
2021-12-12,183412
2021-12-13,340850
2021-12-14,90750
2021-12-15,51015
2021-12-16,33160
2021-12-17,140271
2021-12-18,43648
2021-12-19,90891
2021-12-20,85955
2021-12-21,136224
2021-12-22,59411
2021-12-23,156592
2021-12-24,96626
2021-12-25,297517
2021-12-26,222412
2021-12-27,78574
2021-12-28,114850
2021-12-29,114719
2021-12-30,164988
2021-12-31,117052
2022-01-01,280887
2022-01-02,293011
2022-01-03,150316
2022-01-04,284484
2022-01-05,242636
2022-01-06,293830
2022-01-07,178164
2022-01-08,209652
2022-01-09,173633
2022-01-10,173747
2022-01-11,226258
2022-01-12,158034
2022-01-13,95547
2022-01-14,177934
2022-01-15,209477
2022-01-16,68573
2022-01-17,98565
2022-01-18,285873
2022-01-19,184722
2022-01-20,205538
2022-01-21,78929
2022-01-22,355486
2022-01-23,81306
2022-01-24,44183
2022-01-25,77520
2022-01-26,43506
2022-01-27,93508
2022-01-28,54315
2022-01-29,126053
2022-01-30,120757
2022-01-31,157674
2022-02-01,167372
2022-02-02,149968
2022-02-03,142329
2022-02-04,152812
2022-02-05,77708
2022-02-06,138396
2022-02-07,126615
2022-02-08,85028
2022-02-09,43456
2022-02-10,132878
2022-02-11,204020
2022-02-12,196270
2022-02-13,123762
2022-02-14,141272
2022-02-15,389890
2022-02-16,193428
2022-02-17,153075
2022-02-18,283261
2022-02-19,158326
2022-02-20,234108
2022-02-21,118709
2022-02-22,185934
2022-02-23,250103
2022-02-24,204200
2022-02-25,287599
2022-02-26,204865
2022-02-27,226498
2022-02-28,306966
