date,lead buy
2021-07-10,51071
2021-07-11,36512
2021-07-12,132109
2021-07-13,58918
2021-07-14,37431
2021-07-15,31038
2021-07-16,33276
2021-07-17,43820
2021-07-18,31640
2021-07-19,49142
2021-07-20,62823
2021-07-21,35054
2021-07-22,19580
2021-07-23,40520
2021-07-24,24863
2021-07-25,28590
2021-07-26,40883
2021-07-27,32572
2021-07-28,33145
2021-07-29,28365
2021-07-30,36801
2021-07-31,25892
2021-08-01,42758
2021-08-02,58309
2021-08-03,44082
2021-08-04,59112
2021-08-05,129474
2021-08-06,107007
2021-08-07,28628
2021-08-08,13340
2021-08-09,70460
2021-08-10,39588
2021-08-11,85216
2021-08-12,29850
2021-08-13,27736
2021-08-14,30850
2021-08-15,22926
2021-08-16,102255
2021-08-17,47449
2021-08-18,61433
2021-08-19,34316
2021-08-20,47900
2021-08-21,50474
2021-08-22,15527
2021-08-23,29209
2021-08-24,34946
2021-08-25,39385
2021-08-26,22887
2021-08-27,63093
2021-08-28,29939
2021-08-29,48869
2021-08-30,20973
2021-08-31,24865
2021-09-01,12556
2021-09-02,64978
2021-09-03,43558
2021-09-04,66691
2021-09-05,38244
2021-09-06,24552
2021-09-07,40476
2021-09-08,23659
2021-09-09,50044
2021-09-10,31618
2021-09-11,28773
2021-09-12,35729
2021-09-13,33700
2021-09-14,66536
2021-09-15,38232
2021-09-16,28840
2021-09-17,47974
2021-09-18,105905
2021-09-19,59139
2021-09-20,72031
2021-09-21,47060
2021-09-22,37890
2021-09-23,41133
2021-09-24,25863
2021-09-25,49503
2021-09-26,56455
2021-09-27,47607
2021-09-28,34404
2021-09-29,48936
2021-09-30,58340
2021-10-01,77596
2021-10-02,22004
2021-10-03,32705
2021-10-04,57866
2021-10-05,38056
2021-10-06,68112
2021-10-07,22106
2021-10-08,93433
2021-10-09,104733
2021-10-10,31599
2021-10-11,39886
2021-10-12,52965
2021-10-13,22462
2021-10-14,32660
2021-10-15,23877
2021-10-16,188699
2021-10-17,20821
2021-10-18,48446
2021-10-19,36516
2021-10-20,36256
2021-10-21,71584
2021-10-22,118587
2021-10-23,29706
2021-10-24,45074
2021-10-25,138984
2021-10-26,68451
2021-10-27,43773
2021-10-28,59720
2021-10-29,27381
2021-10-30,46025
2021-10-31,42236
2021-11-01,56774
2021-11-02,58949
2021-11-03,49504
2021-11-04,49764
2021-11-05,36126
2021-11-06,26810
2021-11-07,55379
2021-11-08,46329
2021-11-09,43836
2021-11-10,72864
2021-11-11,73016
2021-11-12,54586
2021-11-13,21739
2021-11-14,43243
2021-11-15,39505
2021-11-16,11912
2021-11-17,47916
2021-11-18,22704
2021-11-19,42369
2021-11-20,35578
2021-11-21,69160
2021-11-22,26527
2021-11-23,81729
2021-11-24,52553
2021-11-25,35642
2021-11-26,21243
2021-11-27,44749
2021-11-28,37961
2021-11-29,21209
2021-11-30,32838
2021-12-01,79247
2021-12-02,25025
2021-12-03,71993
2021-12-04,75343
2021-12-05,90535
2021-12-06,36046
2021-12-07,74872
2021-12-08,123436
2021-12-09,25642
2021-12-10,48199
2021-12-11,52498
2021-12-12,20202
2021-12-13,26048
2021-12-14,30211
2021-12-15,23864
2021-12-16,36057
2021-12-17,129406
2021-12-18,24943
2021-12-19,50383
2021-12-20,46851
2021-12-21,84243
2021-12-22,35679
2021-12-23,31058
2021-12-24,31747
2021-12-25,45845
2021-12-26,39406
2021-12-27,45045
2021-12-28,39181
2021-12-29,63924
2021-12-30,28193
2021-12-31,31707
2022-01-01,59979
2022-01-02,44083
2022-01-03,91703
2022-01-04,83339
2022-01-05,98960
2022-01-06,47839
2022-01-07,52635
2022-01-08,53205
2022-01-09,22018
2022-01-10,26220
2022-01-11,23174
2022-01-12,14703
2022-01-13,78368
2022-01-14,31397
2022-01-15,46845
2022-01-16,33639
2022-01-17,64282
2022-01-18,47371
2022-01-19,26611
2022-01-20,75355
2022-01-21,65591
2022-01-22,73375
2022-01-23,63542
2022-01-24,43920
2022-01-25,63505
2022-01-26,28276
2022-01-27,32623
2022-01-28,50772
2022-01-29,54045
2022-01-30,29614
2022-01-31,36599
2022-02-01,43658
2022-02-02,29110
2022-02-03,39161
2022-02-04,43962
2022-02-05,50292
2022-02-06,34224
2022-02-07,23849
2022-02-08,49030
2022-02-09,70795
2022-02-10,38728
