date,oil buy
2021-07-10,37819
2021-07-11,60627
2021-07-12,125478
2021-07-13,47955
2021-07-14,36984
2021-07-15,39652
2021-07-16,41173
2021-07-17,109506
2021-07-18,58432
2021-07-19,39196
2021-07-20,49583
2021-07-21,110653
2021-07-22,54631
2021-07-23,57257
2021-07-24,61850
2021-07-25,27348
2021-07-26,35928
2021-07-27,45146
2021-07-28,28308
2021-07-29,27850
2021-07-30,60293
2021-07-31,135365
2021-08-01,87914
2021-08-02,49413
2021-08-03,53857
2021-08-04,68747
2021-08-05,32181
2021-08-06,51412
2021-08-07,24528
2021-08-08,27194
2021-08-09,42000
2021-08-10,51196
2021-08-11,122744
2021-08-12,30508
2021-08-13,165300
2021-08-14,76804
2021-08-15,118006
2021-08-16,54332
2021-08-17,102843
2021-08-18,116196
2021-08-19,39143
2021-08-20,35849
2021-08-21,50843
2021-08-22,70416
2021-08-23,69604
2021-08-24,92472
2021-08-25,40501
2021-08-26,30219
2021-08-27,62436
2021-08-28,34084
2021-08-29,60504
2021-08-30,42583
2021-08-31,52481
2021-09-01,61413
2021-09-02,61880
2021-09-03,66707
2021-09-04,60602
2021-09-05,39904
2021-09-06,84817
2021-09-07,103472
2021-09-08,53937
2021-09-09,103286
2021-09-10,27114
2021-09-11,45046
2021-09-12,51719
2021-09-13,59017
2021-09-14,52671
2021-09-15,71004
2021-09-16,62797
2021-09-17,77482
2021-09-18,91511
2021-09-19,74827
2021-09-20,109374
2021-09-21,50188
2021-09-22,70529
2021-09-23,113872
2021-09-24,40633
2021-09-25,72656
2021-09-26,51183
2021-09-27,63622
2021-09-28,87629
2021-09-29,84335
2021-09-30,130064
2021-10-01,79492
2021-10-02,152194
2021-10-03,134964
2021-10-04,59302
2021-10-05,55490
2021-10-06,93169
2021-10-07,58604
2021-10-08,91479
2021-10-09,65026
2021-10-10,51401
2021-10-11,47189
2021-10-12,76585
2021-10-13,48428
2021-10-14,88193
2021-10-15,95408
2021-10-16,45282
2021-10-17,80534
2021-10-18,130129
2021-10-19,80355
2021-10-20,64852
2021-10-21,44780
2021-10-22,133541
2021-10-23,54187
2021-10-24,177933
2021-10-25,50364
2021-10-26,91258
2021-10-27,54723
2021-10-28,94844
2021-10-29,50111
