date,oil buy
2021-07-10,3451
2021-07-11,3493
2021-07-12,3541
2021-07-13,3559
2021-07-14,3587
2021-07-15,3595
2021-07-16,3697
2021-07-17,3606
2021-07-18,3598
2021-07-19,3621
2021-07-20,3695
2021-07-21,4115
2021-07-22,3718
2021-07-23,3850
2021-07-24,3850
2021-07-25,3793
2021-07-26,3747
2021-07-27,3492
2021-07-28,3556
2021-07-29,3634
2021-07-30,3817
2021-07-31,3831
2021-08-01,3824
2021-08-02,3905
2021-08-03,3923
2021-08-04,3882
2021-08-05,3984
2021-08-06,3973
2021-08-07,4039
2021-08-08,4102
2021-08-09,4118
2021-08-10,4145
2021-08-11,4170
2021-08-12,4226
2021-08-13,4472
2021-08-14,4261
2021-08-15,4263
2021-08-16,4252
2021-08-17,4225
2021-08-18,3622
2021-08-19,3416
2021-08-20,4158
2021-08-21,3836
2021-08-22,3807
2021-08-23,3824
2021-08-24,3785
2021-08-25,3781
2021-08-26,3971
2021-08-27,3883
2021-08-28,3820
2021-08-29,3152
2021-08-30,3656
2021-08-31,3655
2021-09-01,3616
2021-09-02,3659
2021-09-03,3679
2021-09-04,3718
2021-09-05,3743
2021-09-06,3674
2021-09-07,3759
2021-09-08,3792
2021-09-09,3742
2021-09-10,3356
2021-09-11,3542
2021-09-12,3553
2021-09-13,3580
2021-09-14,3612
2021-09-15,3706
2021-09-16,3692
2021-09-17,3699
2021-09-18,3354
2021-09-19,3373
2021-09-20,3458
2021-09-21,3553
2021-09-22,3587
2021-09-23,3497
2021-09-24,3385
2021-09-25,3622
2021-09-26,3679
2021-09-27,3765
2021-09-28,3784
2021-09-29,3707
2021-09-30,3507
2021-10-01,3746
2021-10-02,3727
2021-10-03,3541
2021-10-04,3566
2021-10-05,3684
2021-10-06,3662
2021-10-07,3554
2021-10-08,3590
2021-10-09,3406
2021-10-10,3467
2021-10-11,3658
2021-10-12,3673
2021-10-13,3719
2021-10-14,3740
2021-10-15,3722
2021-10-16,3741
2021-10-17,3571
2021-10-18,3634
2021-10-19,3613
2021-10-20,3632
2021-10-21,3673
2021-10-22,3696
2021-10-23,3688
2021-10-24,3679
2021-10-25,3544
2021-10-26,3575
2021-10-27,3516
2021-10-28,3448
2021-10-29,3485
2021-10-30,3513
2021-10-31,3561
2021-11-01,3574
2021-11-02,3608
2021-11-03,3645
2021-11-04,3629
2021-11-05,3677
2021-11-06,3585
2021-11-07,3587
2021-11-08,3657
2021-11-09,3621
2021-11-10,3594
2021-11-11,3695
2021-11-12,3618
2021-11-13,3654
2021-11-14,3636
2021-11-15,3630
2021-11-16,3893
2021-11-17,3735
2021-11-18,3780
2021-11-19,3815
2021-11-20,3808
2021-11-21,3662
2021-11-22,3625
2021-11-23,3677
2021-11-24,3682
