date,iron buy
2021-07-10,3392
2021-07-11,3384
2021-07-12,3427
2021-07-13,3572
2021-07-14,3575
2021-07-15,3246
2021-07-16,3235
2021-07-17,3263
2021-07-18,3467
2021-07-19,3735
2021-07-20,3680
2021-07-21,3925
2021-07-22,3763
2021-07-23,3761
2021-07-24,3832
2021-07-25,3787
2021-07-26,2985
2021-07-27,3230
2021-07-28,3466
2021-07-29,3728
2021-07-30,3694
2021-07-31,3735
2021-08-01,3822
2021-08-02,3831
2021-08-03,3793
2021-08-04,3734
2021-08-05,3861
2021-08-06,3906
2021-08-07,3912
2021-08-08,3839
2021-08-09,3752
2021-08-10,3788
2021-08-11,3843
2021-08-12,3888
2021-08-13,3890
2021-08-14,3798
2021-08-15,3488
2021-08-16,3676
2021-08-17,3884
2021-08-18,3666
2021-08-19,3668
2021-08-20,3567
2021-08-21,3251
2021-08-22,3185
2021-08-23,3242
2021-08-24,3519
2021-08-25,3456
2021-08-26,3487
2021-08-27,3482
2021-08-28,3494
2021-08-29,3574
2021-08-30,3539
2021-08-31,3559
2021-09-01,3563
2021-09-02,3586
2021-09-03,3594
2021-09-04,3602
2021-09-05,3593
2021-09-06,3547
2021-09-07,3879
2021-09-08,3657
2021-09-09,3396
2021-09-10,3322
2021-09-11,3383
2021-09-12,3351
2021-09-13,3412
2021-09-14,3405
2021-09-15,3451
2021-09-16,3523
2021-09-17,3669
2021-09-18,3645
2021-09-19,3501
2021-09-20,3467
2021-09-21,3593
2021-09-22,3667
2021-09-23,3579
2021-09-24,3435
2021-09-25,3493
2021-09-26,3550
2021-09-27,3623
2021-09-28,4274
2021-09-29,3755
2021-09-30,3567
2021-10-01,3509
2021-10-02,3436
2021-10-03,3583
2021-10-04,3688
2021-10-05,3673
2021-10-06,3407
2021-10-07,3044
2021-10-08,3214
2021-10-09,3297
2021-10-10,3539
2021-10-11,3545
2021-10-12,3565
2021-10-13,3595
2021-10-14,3574
2021-10-15,3447
2021-10-16,3505
2021-10-17,3520
2021-10-18,3604
2021-10-19,3639
2021-10-20,3645
2021-10-21,3611
2021-10-22,3438
2021-10-23,3404
2021-10-24,3432
2021-10-25,3480
2021-10-26,3498
2021-10-27,3493
2021-10-28,3406
2021-10-29,3213
2021-10-30,3382
2021-10-31,3441
2021-11-01,3518
2021-11-02,3499
2021-11-03,3472
2021-11-04,3575
2021-11-05,3585
2021-11-06,3612
2021-11-07,3622
2021-11-08,3600
2021-11-09,3518
2021-11-10,3634
2021-11-11,3647
2021-11-12,3654
2021-11-13,3662
2021-11-14,3546
2021-11-15,3676
2021-11-16,3697
2021-11-17,3679
2021-11-18,3641
2021-11-19,3523
2021-11-20,3565
2021-11-21,3565
2021-11-22,3563
2021-11-23,3586
2021-11-24,3605
2021-11-25,3584
2021-11-26,3502
2021-11-27,3510
2021-11-28,3542
2021-11-29,3583
2021-11-30,3590
2021-12-01,3573
2021-12-02,3553
2021-12-03,3569
2021-12-04,3583
2021-12-05,3544
2021-12-06,3345
2021-12-07,3153
2021-12-08,3200
2021-12-09,3233
2021-12-10,3090
2021-12-11,2850
2021-12-12,3085
2021-12-13,3037
2021-12-14,3037
2021-12-15,3051
2021-12-16,3047
2021-12-17,3081
2021-12-18,3088
2021-12-19,3094
2021-12-20,3108
2021-12-21,3096
2021-12-22,3029
2021-12-23,3131
2021-12-24,3157
