date,steel buy
2021-07-10,3861
2021-07-11,3710
2021-07-12,3756
2021-07-13,3784
2021-07-14,3875
2021-07-15,3903
2021-07-16,3805
2021-07-17,3750
2021-07-18,3743
2021-07-19,3778
2021-07-20,3815
2021-07-21,3809
2021-07-22,3792
2021-07-23,3816
2021-07-24,3856
2021-07-25,3832
2021-07-26,3776
2021-07-27,3680
2021-07-28,3767
2021-07-29,3850
2021-07-30,3802
2021-07-31,3761
2021-08-01,3769
2021-08-02,3720
2021-08-03,3759
2021-08-04,3832
2021-08-05,3832
2021-08-06,3857
2021-08-07,3901
2021-08-08,3868
2021-08-09,3881
2021-08-10,3906
2021-08-11,3829
2021-08-12,3869
2021-08-13,3870
2021-08-14,3780
2021-08-15,3846
2021-08-16,4146
2021-08-17,4269
2021-08-18,4326
2021-08-19,4117
2021-08-20,3995
2021-08-21,3681
2021-08-22,3892
2021-08-23,3870
2021-08-24,3893
2021-08-25,3943
2021-08-26,3991
2021-08-27,3906
2021-08-28,3944
2021-08-29,3988
2021-08-30,4138
2021-08-31,4154
2021-09-01,4124
2021-09-02,4074
2021-09-03,4000
2021-09-04,3904
2021-09-05,3875
2021-09-06,3853
2021-09-07,3743
2021-09-08,3785
2021-09-09,3800
2021-09-10,3684
2021-09-11,3773
2021-09-12,3709
2021-09-13,3727
2021-09-14,3677
2021-09-15,3646
2021-09-16,3668
2021-09-17,3739
2021-09-18,3588
2021-09-19,3402
2021-09-20,3541
2021-09-21,3630
2021-09-22,3599
2021-09-23,3577
2021-09-24,3593
2021-09-25,3648
2021-09-26,3737
2021-09-27,3727
2021-09-28,3679
2021-09-29,3618
2021-09-30,3590
2021-10-01,3706
2021-10-02,3795
2021-10-03,3746
2021-10-04,3767
2021-10-05,3684
2021-10-06,3702
2021-10-07,3716
2021-10-08,3713
2021-10-09,3766
2021-10-10,3787
2021-10-11,3856
2021-10-12,3860
2021-10-13,3852
2021-10-14,3820
2021-10-15,3800
2021-10-16,3749
2021-10-17,3670
2021-10-18,3635
2021-10-19,3632
2021-10-20,3695
2021-10-21,3822
2021-10-22,3685
2021-10-23,3681
2021-10-24,3715
2021-10-25,3651
2021-10-26,3572
2021-10-27,3610
2021-10-28,3645
2021-10-29,3654
2021-10-30,3624
2021-10-31,3459
2021-11-01,3462
2021-11-02,3466
2021-11-03,3492
2021-11-04,3511
2021-11-05,3531
2021-11-06,3564
2021-11-07,3550
2021-11-08,3530
2021-11-09,3483
2021-11-10,3468
2021-11-11,3463
2021-11-12,3480
2021-11-13,3496
2021-11-14,3512
2021-11-15,3535
2021-11-16,3497
2021-11-17,3531
2021-11-18,3592
2021-11-19,3624
2021-11-20,3571
2021-11-21,3494
2021-11-22,3526
2021-11-23,3526
2021-11-24,3568
2021-11-25,3568
2021-11-26,3523
2021-11-27,3586
2021-11-28,3646
2021-11-29,3682
2021-11-30,3661
2021-12-01,3659
2021-12-02,3684
2021-12-03,3690
2021-12-04,3718
2021-12-05,3760
2021-12-06,3826
2021-12-07,3889
2021-12-08,3920
2021-12-09,4021
2021-12-10,4070
2021-12-11,4021
2021-12-12,4897
2021-12-13,4100
2021-12-14,4067
2021-12-15,4094
2021-12-16,4191
2021-12-17,4259
2021-12-18,4287
2021-12-19,4348
2021-12-20,4320
2021-12-21,4094
2021-12-22,3850
2021-12-23,4308
2021-12-24,4400
2021-12-25,4343
2021-12-26,3984
2021-12-27,3848
2021-12-28,3795
2021-12-29,3809
2021-12-30,3737
2021-12-31,3689
2022-01-01,3597
2022-01-02,3578
2022-01-03,3576
2022-01-04,3684
2022-01-05,3602
2022-01-06,3552
2022-01-07,3612
2022-01-08,4381
2022-01-09,3705
2022-01-10,3734
2022-01-11,3747
2022-01-12,3754
2022-01-13,3794
2022-01-14,3834
2022-01-15,3850
2022-01-16,3760
2022-01-17,3792
2022-01-18,3787
2022-01-19,3838
2022-01-20,3856
2022-01-21,4008
2022-01-22,4221
2022-01-23,4098
2022-01-24,3533
2022-01-25,3609
2022-01-26,3677
2022-01-27,3781
2022-01-28,3829
