date,gasoline buy
2021-07-10,3294
2021-07-11,3172
2021-07-12,3138
2021-07-13,3162
2021-07-14,3275
2021-07-15,3237
2021-07-16,3200
2021-07-17,3134
2021-07-18,3161
2021-07-19,3284
2021-07-20,3266
2021-07-21,3183
2021-07-22,3070
2021-07-23,3184
2021-07-24,3205
2021-07-25,3297
2021-07-26,3293
2021-07-27,3320
2021-07-28,3285
2021-07-29,3264
2021-07-30,3405
2021-07-31,3384
2021-08-01,3377
2021-08-02,3385
2021-08-03,3380
2021-08-04,3399
2021-08-05,3459
2021-08-06,3348
2021-08-07,3385
2021-08-08,3402
2021-08-09,3447
2021-08-10,3435
2021-08-11,3369
2021-08-12,3343
2021-08-13,3379
2021-08-14,3369
2021-08-15,3477
2021-08-16,3649
2021-08-17,3632
2021-08-18,3559
2021-08-19,3348
2021-08-20,3326
2021-08-21,3243
2021-08-22,3188
2021-08-23,3073
2021-08-24,3114
2021-08-25,3309
2021-08-26,3398
2021-08-27,3336
2021-08-28,3333
2021-08-29,3219
2021-08-30,3318
2021-08-31,3372
2021-09-01,3271
2021-09-02,3275
2021-09-03,2829
2021-09-04,3310
2021-09-05,3338
2021-09-06,3117
2021-09-07,3319
2021-09-08,3358
2021-09-09,3121
2021-09-10,3270
2021-09-11,3314
2021-09-12,3578
2021-09-13,3198
2021-09-14,3158
2021-09-15,3150
2021-09-16,3119
2021-09-17,3151
2021-09-18,3088
2021-09-19,2885
2021-09-20,2928
2021-09-21,2968
2021-09-22,2976
2021-09-23,3021
2021-09-24,5119
2021-09-25,3113
2021-09-26,3111
2021-09-27,3015
2021-09-28,3081
2021-09-29,3028
2021-09-30,2972
2021-10-01,2951
2021-10-02,3007
2021-10-03,3000
2021-10-04,2995
2021-10-05,3016
2021-10-06,2845
2021-10-07,2914
2021-10-08,2932
2021-10-09,3034
2021-10-10,3051
2021-10-11,3009
2021-10-12,2986
2021-10-13,3049
2021-10-14,3040
2021-10-15,3123
2021-10-16,3079
2021-10-17,3034
2021-10-18,3124
2021-10-19,3233
2021-10-20,3213
2021-10-21,3181
2021-10-22,3101
2021-10-23,3114
2021-10-24,3144
2021-10-25,3115
2021-10-26,3103
2021-10-27,3111
2021-10-28,3090
2021-10-29,3019
2021-10-30,3067
2021-10-31,3034
2021-11-01,3008
2021-11-02,2993
2021-11-03,3031
2021-11-04,3073
2021-11-05,3057
2021-11-06,3057
2021-11-07,3041
2021-11-08,3058
2021-11-09,3037
2021-11-10,3159
2021-11-11,3054
2021-11-12,2999
2021-11-13,3024
2021-11-14,3023
2021-11-15,3023
2021-11-16,2988
2021-11-17,3011
2021-11-18,3079
2021-11-19,3076
2021-11-20,3140
2021-11-21,3144
2021-11-22,3132
2021-11-23,3051
2021-11-24,3064
2021-11-25,3088
2021-11-26,3092
2021-11-27,3100
2021-11-28,3096
2021-11-29,3019
2021-11-30,3056
2021-12-01,3140
2021-12-02,3260
2021-12-03,3290
2021-12-04,3290
2021-12-05,3287
2021-12-06,3416
2021-12-07,3415
2021-12-08,3445
2021-12-09,3458
2021-12-10,3459
2021-12-11,3315
2021-12-12,3275
2021-12-13,2876
2021-12-14,3168
2021-12-15,3232
2021-12-16,3274
2021-12-17,3288
2021-12-18,3389
2021-12-19,3413
2021-12-20,3119
2021-12-21,3155
2021-12-22,3161
2021-12-23,3185
2021-12-24,3233
2021-12-25,3292
2021-12-26,3247
2021-12-27,3030
2021-12-28,3093
2021-12-29,3144
2021-12-30,3131
2021-12-31,2940
2022-01-01,3007
2022-01-02,3041
2022-01-03,3073
2022-01-04,3112
2022-01-05,3071
2022-01-06,3022
2022-01-07,2995
2022-01-08,3007
2022-01-09,3061
2022-01-10,3080
2022-01-11,3078
2022-01-12,3068
2022-01-13,3080
2022-01-14,3106
2022-01-15,3122
2022-01-16,3171
2022-01-17,3276
2022-01-18,3269
2022-01-19,3265
2022-01-20,3256
2022-01-21,3356
2022-01-22,3472
2022-01-23,3331
2022-01-24,3220
2022-01-25,3072
2022-01-26,3231
2022-01-27,3224
2022-01-28,3118
2022-01-29,3161
2022-01-30,3216
2022-01-31,3132
2022-02-01,3102
2022-02-02,3045
2022-02-03,3032
2022-02-04,3195
2022-02-05,3160
2022-02-06,3183
2022-02-07,3122
2022-02-08,3164
2022-02-09,3171
2022-02-10,3132
2022-02-11,3082
2022-02-12,3078
2022-02-13,3059
2022-02-14,3044
2022-02-15,3031
2022-02-16,3036
2022-02-17,3066
2022-02-18,3140
2022-02-19,3110
2022-02-20,3110
2022-02-21,3107
2022-02-22,3132
2022-02-23,3140
2022-02-24,3073
2022-02-25,3046
2022-02-26,3056
2022-02-27,3055
2022-02-28,3033
2022-03-01,3086
2022-03-02,3132
2022-03-03,3107
2022-03-04,3097
2022-03-05,3066
2022-03-06,3031
2022-03-07,3058
2022-03-08,3067
2022-03-09,3088
2022-03-10,3113
2022-03-11,3100
2022-03-12,3087
2022-03-13,3175
2022-03-14,3174
2022-03-15,3182
2022-03-16,3166
2022-03-17,3178
2022-03-18,3228
2022-03-19,3089
2022-03-20,3147
2022-03-21,3151
2022-03-22,3127
2022-03-23,3123
2022-03-24,3131
2022-03-25,3079
2022-03-26,3047
2022-03-27,3083
2022-03-28,3086
2022-03-29,3092
2022-03-30,3077
2022-03-31,3049
2022-04-01,3031
2022-04-02,3047
2022-04-03,3081
2022-04-04,3051
2022-04-05,3064
2022-04-06,3067
2022-04-07,3085
2022-04-08,3091
2022-04-09,3060
2022-04-10,3035
2022-04-11,3017
2022-04-12,2989
2022-04-13,2971
2022-04-14,2949
2022-04-15,2944
2022-04-16,2925
2022-04-17,2910
2022-04-18,2954
2022-04-19,2943
2022-04-20,2926
2022-04-21,2941
2022-04-22,2927
2022-04-23,2950
2022-04-24,2964
2022-04-25,2941
2022-04-26,2960
2022-04-27,2935
2022-04-28,2923
2022-04-29,2961
2022-04-30,2914
2022-05-01,2909
2022-05-02,2931
2022-05-03,2944
2022-05-04,2930
2022-05-05,2881
2022-05-06,2835
2022-05-07,2932
2022-05-08,2908
2022-05-09,2893
2022-05-10,2944
2022-05-11,2948
2022-05-12,2924
2022-05-13,2889
2022-05-14,2982
2022-05-15,2986
2022-05-16,3026
2022-05-17,3029
2022-05-18,2979
2022-05-19,3001
2022-05-20,2979
2022-05-21,2980
2022-05-22,2940
2022-05-23,2925
2022-05-24,2913
2022-05-25,2905
2022-05-26,2882
2022-05-27,2815
2022-05-28,2849
2022-05-29,2869
2022-05-30,2956
2022-05-31,2852
2022-06-01,2828
2022-06-02,2782
2022-06-03,2865
2022-06-04,2804
2022-06-05,2897
2022-06-06,2768
2022-06-07,2750
