date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-10-03,21305,18027,21450,4563,4900,9109,5305,4330,7215,11270,3799,18719,4744,5978,19823,11775,11145,6221,12700,9666,9024,13500,1618,6764
2020-10-04,10164,12100,19300,19905,2500,21075,6008,445,18600,5968,4200,14536,11619,22573,13583,1350,24672,18924,33773,10752,16090,3513,995,11024
2020-10-05,64814,11656,4709,16396,17527,5000,8618,5576,13273,419,8229,2920,27103,24454,15437,7014,11175,15685,14918,3410,8778,1607,4792,1803
2020-10-06,36626,6904,5942,2830,6000,14555,3748,4314,5876,2080,1121,4357,8725,27869,1169,14493,13363,7706,8493,11354,3613,1030,7123,6576
2020-10-07,16758,4202,3733,5153,12360,8182,347,7577,6150,16995,150,1500,8020,7053,22702,8723,4093,17623,35062,18697,12600,9906,11286,57200
2020-10-08,16613,3990,9427,9560,9960,1660,345,940,5555,650,7350,220,4748,3817,20467,47146,5446,16564,3250,3762,16515,2630,25294,12025
2020-10-09,23288,20999,11774,21621,6218,6110,7153,889,1200,2955,5949,3053,15405,7426,10530,10395,19976,4856,5166,11580,9748,33785,5810,1800
2020-10-10,4400,8521,5344,2106,10500,1825,100,6381,1442,4300,6200,17206,10946,152,3794,3447,6106,5209,7773,3165,10081,7523,0,4110
2020-10-11,13429,6900,13849,17245,1000,14300,3005,3000,1014,11625,1850,19316,4612,355,9812,24289,2151,5343,4747,1038,2560,59397,7141,52916
2020-10-12,18151,11415,21353,11081,5946,20270,2800,12016,2074,7686,11510,1044,5021,2694,18793,12903,15628,7583,720,32699,18713,765,2012,26192
2020-10-13,7816,8940,10385,4082,1496,3731,3550,3392,3656,1872,1704,24450,13830,12016,11701,4117,7513,5688,8710,18481,1975,3475,7407,39601
2020-10-14,12749,6965,3863,3490,3432,7016,3250,6751,15242,5310,3171,251,26683,11364,7704,18449,20708,32180,13970,22345,6786,9260,26043,1672
2020-10-15,3486,9783,6803,7221,8536,4310,8700,630,704,7250,13875,93793,11450,11650,27396,7175,14368,36213,4378,12610,12289,10293,3859,8654
2020-10-16,3627,14130,2387,2014,48937,0,1485,2020,6400,600,400,8880,2402,2407,5007,4430,6568,1912,16348,2010,3511,830,305,10700
2020-10-17,10244,17819,13670,2023,9700,1150,3205,2646,658,7412,1197,3504,5684,5446,11710,6800,5489,3385,17678,5795,10425,14485,8630,6628
2020-10-18,1058,4702,18686,5023,2602,24192,21950,6844,2726,574,10764,443816,5125,13775,6427,5206,9824,2584,9789,15561,9435,4740,5560,5630
2020-10-19,11016,12682,5535,15598,2690,2540,2700,10200,9814,1500,2200,12970,248,7103,10865,13046,11187,13100,8681,9126,11936,30493,3709,3160
2020-10-20,2912,6381,2795,6947,9770,8999,11225,7487,10430,470,10010,2000,2991,26505,17939,5427,13337,9940,1204,5993,6047,127139,1866,5775
2020-10-21,7755,4833,14416,23504,6007,6464,1250,2116,1005,12172,5825,2770,6527,5690,16732,16063,7764,3192,29448,12950,16961,637,46776,24076
2020-10-22,24898,4958,62656,7305,850,1702,20248,2453,1953,1750,112578,3025,14215,27912,3328,13777,11212,11415,9749,11300,6110,8111,14304,4263
2020-10-23,20645,6414,6827,14638,2900,4772,2544,3708,7600,5300,15900,7961,7787,10744,9925,42168,13821,6535,20580,11713,14735,25310,8643,2350
2020-10-24,7670,2015,58217,3990,2721,2810,1650,20308,6851,3400,4127,1892,16093,16100,10,8277,3332,4026,2802,5172,6660,202118,2545,68725
2020-10-25,7831,69790,6726,11750,418,11045,2460,3150,1040,2200,110308,8382,13956,8324,10190,2670,2760,8500,22358,4147,16826,24183,48640,11200
2020-10-26,109358,5053,60183,1690,20805,12240,9900,310,25669,107312,4450,9378,67611,21305,20362,9849,9375,59008,75528,37344,48897,105959,26453,65241
2020-10-27,76493,8621,23109,24252,5368,49955,13618,16130,8310,1968,5200,21383,54464,37672,12397,28351,16344,21377,64154,35628,5644,1877,12277,19237
2020-10-28,13819,17015,13850,28516,5199,4314,2840,7893,3811,3472,4528,2919,6243,16406,66819,5516,8243,9818,19020,11737,9930,7650,8201,14111
2020-10-29,21220,9563,79880,2769,1280,10512,20890,11567,5143,51035,11865,3027,10564,9860,8229,78195,20083,43227,1353,2180,14532,18593,3875,18458
2020-10-30,23255,13555,6223,4055,1258,1090,4917,7617,7150,1100,12845,7587,6538,23117,16513,4228,7360,48146,6942,27407,86030,22272,40676,53813
2020-10-31,31043,18672,33861,36941,4955,16276,39366,22110,2060,21584,33061,6070,12498,11060,10240,12828,27079,73817,22493,36946,38151,5434,7866,19330
2020-11-01,38299,5450,11562,12198,4239,13375,17156,5640,4150,4105,12789,1715,14098,5122,19485,16857,20528,23099,11222,17154,4492,1791,7020,14420
2020-11-02,40888,13350,9127,8006,12189,24600,29030,2812,11682,13520,8275,10102,16500,8238,12014,9985,11830,8806,16135,60077,9048,4305,12729,10000
2020-11-03,20699,30181,20714,3566,19234,11511,9189,5550,36338,20212,506,4013,26973,15680,17021,7179,8066,9693,8926,24040,20482,236,12217,4074
2020-11-04,8251,9982,10169,11721,6813,12006,1440,5525,22595,6550,2395,3197,8530,3718,7336,7290,15931,7588,11881,10165,9128,2140,3815,8058
2020-11-05,12452,4398,23899,7800,23651,11965,9669,11954,8315,3415,11217,2250,28305,8974,6477,10039,17839,38762,4171,11796,12092,36485,13202,6232
2020-11-06,19268,4172,7696,4028,966,6964,8627,8362,10390,1750,5423,4882,9378,12378,9809,2546,23844,7888,8220,3039,13354,6848,1807,15204
2020-11-07,35923,8905,13295,11505,15087,24589,5550,1885,1765,7365,904,780,6286,18309,5518,3583,10102,1227,9284,12519,8031,9602,19124,2178
2020-11-08,11773,17960,4844,7757,6500,2830,2613,2845,2172,9961,22510,10101,7178,9834,8045,10268,11960,11999,5012,11238,25076,4632,11618,2108
2020-11-09,24781,11439,4589,4827,11202,9317,2533,3676,3764,8430,4055,650,4495,5280,3185,4260,7597,2296,6201,4527,5521,14424,4745,2608
2020-11-10,12252,1940,5169,8135,4138,2015,5146,3633,3359,200,3200,218,2493,5656,7439,2746,27054,6066,5583,9217,8338,4468,8281,3372
2020-11-11,10095,8653,10642,1544,8744,800,8621,1906,6698,6085,3910,1200,4502,5913,10596,7699,5160,3653,9645,7433,17438,1710,8857,7948
2020-11-12,10880,16340,8615,4721,10969,10000,2267,8383,991,2436,3502,3150,14397,4332,22786,7012,2569,10538,5471,4375,12859,8481,9194,11050
2020-11-13,12324,12496,4351,9845,5582,3143,3225,7360,2578,4500,11130,4070,14699,6067,3731,6854,10201,9233,14773,31141,11378,11115,6630,13150
2020-11-14,3664,11740,6630,1191,1924,8946,1898,3640,510,2383,3552,1880,3447,4008,7394,866,7499,5588,4873,10273,20539,7609,3269,6502
2020-11-15,8667,8100,7306,7313,814,589,4241,9590,6405,2870,3230,1340,5665,8300,7190,4500,23914,19635,7738,6762,3238,21525,12386,8997
2020-11-16,8990,3362,11688,5321,12793,1969,2418,42807,7721,25107,2076,5315,27760,2309,7194,4706,6200,14530,10546,12213,5739,4209,7746,14056
2020-11-17,75959,16750,21158,19198,1907,4701,4800,17733,3490,3410,3348,8015,5392,5254,5093,3100,24284,19859,8995,5724,4676,18337,4216,3486
2020-11-18,6837,3373,11216,2600,11810,4816,3311,22407,3042,4066,9590,1400,5997,8525,12842,9162,895,1835,12286,892,2297,9949,22069,3179
2020-11-19,10086,3748,2590,6723,3562,9337,7204,4804,3958,6787,9706,2520,10206,2850,6333,14871,15800,15616,14343,6126,10888,5830,6769,6501
2020-11-20,10762,1844,8639,5128,11320,8486,12393,7250,9793,905,10655,3214,4429,10315,12109,15310,20112,13618,6922,16448,28632,23937,2051,2409
2020-11-21,10589,13482,10159,13315,29356,1796,2250,1764,8450,17958,6078,7599,5996,2677,24382,10787,7515,6873,5405,7962,12914,3217,5286,12012
2020-11-22,7380,4219,5924,16600,7829,7110,2239,2812,2901,5872,12769,1943,2807,15864,193672,5071,16237,7564,7757,43706,7402,2927,29639,8900
2020-11-23,4817,4105,7034,3206,9108,10588,1816,9727,2228,2171,3712,4161,4447,4635,7988,4606,9165,2415,10733,4147,7736,7714,5377,11690
2020-11-24,10736,4359,5570,3676,7969,1299,10019,1350,3388,5725,6302,3840,6653,4310,18807,5272,3618,8325,23030,6862,12313,560,9132,11544
2020-11-25,13605,11976,6494,13337,27731,2053,5445,28275,26375,5776,7128,4942,2174,1841,6285,1789,21860,2760,7712,7420,15993,5180,14462,19059
2020-11-26,9965,13450,8459,8292,7719,4092,8543,6838,10854,10707,10703,1743,7387,3712,6503,11267,8181,1482,8446,7650,9067,6339,4925,6504
2020-11-27,13543,4500,9387,5503,3803,5339,2175,17146,2919,454,2007,2537,1764,11344,3027,4264,14350,7330,8132,7312,8171,4318,9484,3770
2020-11-28,38028,1100,19498,5235,1812,3922,16973,1075,5957,3220,3392,2802,1865,2324,8693,10205,5120,6088,16576,6208,8042,2950,7115,4269
2020-11-29,9656,15325,2380,15165,9555,1125,8685,3085,47551,12504,1678,1830,2490,4670,1989,3420,8499,12057,15289,5550,4151,9666,350,10596
2020-11-30,12325,15813,1690,3600,8003,3503,8935,2560,6763,13080,3930,7228,2427,4563,9033,15517,4867,5962,6362,31306,17961,51300,10301,4813
