date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-10-04,4612,4483,4460,6412,2351,9987,200,373,45180,1810,558,2845,3604,15313,352,4456,5959,20164,7798,2221,11208,8243,9832,4815
2020-10-05,18535,7226,4527,1179,5547,4011,93,900,4132,6392,15106,735,197,7288,7783,2142,10328,25929,7204,1066,4356,13507,1141,1291
2020-10-06,6107,1110,5213,438,3870,1618,420,4265,5054,419,291,1989,535,605,10377,8880,2300,10845,375,27316,11348,1607,2835,4068
2020-10-07,11733,45,7344,8804,12100,2985,12638,12850,4001,50,2607,7648,27361,3408,12669,3378,1898,1269,11782,24314,5492,1120,3095,1055
2020-10-08,16427,811,5575,7736,28,5784,5637,1020,3788,0,526,26340,8495,7505,10446,17703,10684,22245,12511,2269,10272,1960,12250,6056
2020-10-09,4492,8275,2198,2533,22362,344,25,9807,1130,1189,1483,700,39431,40633,1857,12610,4337,944,1592,10405,2392,15,22413,3775
2020-10-10,13671,3201,3346,669,20229,819,1910,20153,889,13219,7225,6895,1232,347,10560,11354,2461,19111,430,0,200,10310,1000,325
2020-10-11,1499,2090,473,8218,500,6623,1950,2500,27038,4001,200,2686,3324,4213,5290,11077,15870,9804,2328,5266,1805,12337,4439,463
2020-10-12,8272,2485,21216,10538,2955,12250,9558,583,6594,0,1850,27065,4548,6950,936,3125,22797,11186,5484,11467,10003,201,332,936
2020-10-13,3366,9698,2904,4666,3665,11890,379,4706,10452,7408,2517,3880,20300,2844,4582,17357,6438,34475,3651,18059,550,2098,1366,10850
2020-10-14,12015,1614,6062,4316,5368,0,49513,5070,8812,25,1757,4606,5621,4025,22023,2467,5574,22996,34582,2724,7973,1550,3072,6841
2020-10-15,1275,5183,689,160,8388,997,8730,4800,21183,4109,19277,4317,2398,2014,10269,13641,4981,28109,1493,1875,17263,556,1236,14
2020-10-16,11870,7407,3725,5269,2800,1250,631,10270,3368,550,152,895,8235,100,4662,1092,10862,14307,2373,17083,6407,100,1715,10224
2020-10-17,7723,10840,1991,10219,772,4453,0,9710,23699,7393,3404,12839,1200,3032,1561,1466,13905,973,5947,1540,14062,16348,1800,1469
2020-10-18,16825,11058,7481,9349,199,19632,16,10519,2051,1012,2091,2474,12726,15494,958,6878,3034,2852,20,839,462,2600,80,4470
2020-10-19,5219,7453,11907,2021,2432,4147,22140,3692,5839,104,1879,2160,6392,3202,4957,5404,14956,534,1450,4647,10809,2503,47473,29574
2020-10-20,4326,11048,1426,790,5956,4038,935,207,0,4827,10700,2910,4438,3134,1187,21146,2008,5207,2913,18542,212,3495,4105,4341
2020-10-21,21027,14331,942,25632,13877,37,8785,2440,0,366,998,4690,9811,3135,25071,2022,15695,3239,12365,10685,4957,7570,4549,4467
2020-10-22,6289,9462,3600,40095,4950,14765,10456,6408,1268,400,1678,0,6715,2224,4495,16057,405,3865,4621,16325,34197,761,1592,4502
2020-10-23,7675,33623,5651,4186,1800,2923,3479,450,269,50,15008,7525,733,10253,6937,5000,10200,9390,12944,7673,15234,9414,3336,3685
2020-10-24,12068,4418,1387,15010,0,5583,16642,3785,11927,1129,0,167,2497,5360,4877,23068,33724,12000,16579,15361,135241,11391,707,3308
2020-10-25,15133,11721,6185,4992,3831,643,22985,25428,1569,2314,8241,15,1357,8125,6445,19000,3580,4020,13388,20933,7081,23494,4070,11686
2020-10-26,14775,8016,59830,10854,6200,18929,22107,0,7,12051,57514,12324,21960,6610,2900,11786,11595,19265,19255,4389,32307,7244,18200,8744
2020-10-27,25567,7698,23713,3629,1683,10102,1579,42,1480,13507,7900,2490,2732,3537,2466,18355,8735,16000,6180,5110,6983,10556,16,10615
2020-10-28,11300,6501,5904,1320,1733,3002,10228,2313,16,13127,13011,6344,5834,1584,54,12513,575,3368,8140,2548,10623,32595,6550,7491
2020-10-29,13419,17606,16552,8678,767,800,19059,2449,3766,138,726,4964,1269,555,7940,34902,11439,2447,12322,9415,2184,3688,8389,7131
2020-10-30,17252,2648,4271,4941,2316,148366,1758,2689,0,32824,2083,1253,509,5976,805,2222,4986,17159,1305,14099,8765,2185,5073,22423
2020-10-31,2198,5714,7192,2362,0,2540,1917,3200,0,2808,2161,1108,10132,4845,17196,1579,1807,2233,45,1963,3259,10834,1217,3053
2020-11-01,18433,455,3175,3183,1840,2665,645,0,1100,25,293,401,2959,3480,10020,1509,126,1770,302,750,1531,1611,507,200
2020-11-02,3597,150,1800,1500,3082,550,1135,4337,3155,850,4503,1612,288,430,1560,9265,5002,15,3324,1231,3168,5173,501,11172
2020-11-03,3752,839,995,4341,10102,844,7256,1342,893,1642,10500,150,1,1326,11811,417,201,15640,594,6359,1857,1627,406,1863
2020-11-04,684,4764,5940,6600,3689,2745,0,16201,1023,5342,1970,3319,801,16264,4623,1695,22574,7958,374,3710,2650,963,2955,748
2020-11-05,3049,266,9933,2915,4965,1996,2744,3,711,660,300,1036,2535,13780,4785,3650,2005,2550,11091,2472,5648,828,3006,5931
2020-11-06,1444,25984,4781,13523,313,635,30,1541,100,1252,8299,351,1855,564,4510,550,1590,1060,2663,658,7168,242,622,139
2020-11-07,9857,6097,6011,0,1466,22122,7000,0,692,1121,550,12751,2129,277,1046,451,14499,630,4831,1501,390,1702,802,5585
2020-11-08,282,2697,303,26,598,268,1458,4030,16388,1487,893,1450,3731,1770,2462,8553,5945,27613,1248,12648,17302,349,12970,6377
2020-11-09,951,123,5620,5647,17225,10073,772,2835,405,0,14423,794,2115,2599,5885,303,1399,2315,7093,477,1726,1219,966,1475
2020-11-10,6558,702,6994,1373,788,7011,672,17291,1560,0,1123,207,1125,2986,4505,6277,7019,10257,6684,3077,802,1499,5922,13056
2020-11-11,163,1440,0,503,5335,0,200,2857,855,2169,680,235,2257,776,3116,14525,24177,1725,4593,20147,17858,0,687,1006
2020-11-12,8530,120,755,200,12228,5710,608,2716,361,388,3554,1130,1207,2676,542,2224,109,7986,5925,355,3201,8442,3511,2291
2020-11-13,415,8582,739,307,200,2226,735,11067,10360,349,1424,677,9631,1339,325,47114,8296,1183,2218,11773,11161,4835,534,5006
2020-11-14,16889,90,1100,1490,1440,1339,3050,1000,128,0,10253,20,1375,897,6631,1691,3455,878,2156,12067,1000,2843,510,4472
2020-11-15,4652,1395,10086,4647,566,8593,1300,1781,100,11376,4376,31,3698,1344,2010,951,640,4663,3767,557,1043,10556,1214,6081
2020-11-16,3284,2409,1870,1445,220,10778,741,1152,662,485,1742,2690,3894,815,22720,2065,12999,6119,759,1715,873,5,188,452
