date,aluminum sell
2021-07-10,352976
2021-07-11,510609
2021-07-12,500005
2021-07-13,499200
2021-07-14,354469
2021-07-15,480643
2021-07-16,482916
2021-07-17,418760
2021-07-18,493778
2021-07-19,496722
2021-07-20,620426
2021-07-21,435890
2021-07-22,381930
2021-07-23,417078
2021-07-24,409898
2021-07-25,1007745
2021-07-26,518546
2021-07-27,510868
2021-07-28,650242
2021-07-29,350199
2021-07-30,616373
2021-07-31,444802
2021-08-01,570434
2021-08-02,623053
2021-08-03,720460
2021-08-04,491820
2021-08-05,883911
2021-08-06,399693
2021-08-07,497463
2021-08-08,540563
2021-08-09,469679
2021-08-10,461709
2021-08-11,667761
2021-08-12,466532
2021-08-13,567728
2021-08-14,759231
2021-08-15,604844
2021-08-16,677629
2021-08-17,692801
2021-08-18,671578
2021-08-19,323620
2021-08-20,390191
2021-08-21,326089
2021-08-22,442519
2021-08-23,492058
2021-08-24,458034
2021-08-25,407549
2021-08-26,282616
2021-08-27,282241
2021-08-28,448645
2021-08-29,316304
2021-08-30,420837
2021-08-31,340109
2021-09-01,423206
2021-09-02,455440
2021-09-03,338137
2021-09-04,352035
2021-09-05,407686
2021-09-06,290019
2021-09-07,417427
2021-09-08,362777
2021-09-09,346476
2021-09-10,282492
2021-09-11,352270
2021-09-12,427923
2021-09-13,289608
2021-09-14,320149
2021-09-15,392242
2021-09-16,316107
2021-09-17,710894
2021-09-18,341091
2021-09-19,595890
2021-09-20,712933
2021-09-21,619146
2021-09-22,563393
2021-09-23,539416
2021-09-24,449836
2021-09-25,499125
2021-09-26,488316
2021-09-27,539228
2021-09-28,624608
2021-09-29,587186
2021-09-30,566594
2021-10-01,623996
2021-10-02,446937
2021-10-03,497844
2021-10-04,508320
2021-10-05,483354
2021-10-06,537342
2021-10-07,537500
2021-10-08,457672
2021-10-09,505859
2021-10-10,482581
2021-10-11,570339
2021-10-12,425103
2021-10-13,543668
2021-10-14,432629
2021-10-15,457580
2021-10-16,393903
2021-10-17,608697
2021-10-18,437862
2021-10-19,628563
2021-10-20,496889
2021-10-21,468543
2021-10-22,455887
2021-10-23,497007
2021-10-24,435269
2021-10-25,415424
2021-10-26,449208
2021-10-27,466690
2021-10-28,558729
2021-10-29,598346
2021-10-30,432402
2021-10-31,550384
2021-11-01,590943
2021-11-02,459548
2021-11-03,432942
2021-11-04,516477
2021-11-05,746258
2021-11-06,575483
2021-11-07,639320
2021-11-08,518752
2021-11-09,571241
2021-11-10,514140
2021-11-11,585232
2021-11-12,468002
2021-11-13,442563
2021-11-14,585998
2021-11-15,690619
2021-11-16,479723
2021-11-17,537348
2021-11-18,651403
2021-11-19,921699
2021-11-20,558803
2021-11-21,464672
2021-11-22,643382
2021-11-23,590057
2021-11-24,668106
2021-11-25,422455
2021-11-26,749304
2021-11-27,400860
2021-11-28,378319
2021-11-29,889992
2021-11-30,703691
2021-12-01,551252
2021-12-02,563731
2021-12-03,556526
2021-12-04,725057
2021-12-05,669230
2021-12-06,1019340
2021-12-07,744152
2021-12-08,1392177
2021-12-09,643727
2021-12-10,374037
2021-12-11,619190
2021-12-12,603260
2021-12-13,280407
2021-12-14,329787
2021-12-15,466452
2021-12-16,312182
2021-12-17,477535
2021-12-18,434640
2021-12-19,385133
2021-12-20,375097
2021-12-21,382969
2021-12-22,477863
2021-12-23,502653
2021-12-24,659640
2021-12-25,411350
2021-12-26,634071
2021-12-27,537857
2021-12-28,428782
2021-12-29,565434
2021-12-30,386792
2021-12-31,358411
2022-01-01,693630
2022-01-02,663118
2022-01-03,785424
2022-01-04,712114
2022-01-05,566647
2022-01-06,545048
2022-01-07,597837
2022-01-08,513739
2022-01-09,601646
2022-01-10,545647
2022-01-11,517454
2022-01-12,449898
2022-01-13,586905
2022-01-14,429703
2022-01-15,544722
2022-01-16,565029
2022-01-17,575015
2022-01-18,569524
2022-01-19,550860
2022-01-20,728606
2022-01-21,741248
2022-01-22,606648
2022-01-23,722038
2022-01-24,498073
2022-01-25,374964
2022-01-26,310979
2022-01-27,291466
2022-01-28,409093
2022-01-29,459443
2022-01-30,349898
2022-01-31,388199
2022-02-01,487898
2022-02-02,408167
2022-02-03,498191
2022-02-04,634600
2022-02-05,356145
2022-02-06,416329
2022-02-07,525010
2022-02-08,403903
2022-02-09,370585
2022-02-10,384040
2022-02-11,462772
2022-02-12,421291
2022-02-13,460680
2022-02-14,597586
2022-02-15,487071
2022-02-16,709773
2022-02-17,738952
2022-02-18,736870
2022-02-19,598837
2022-02-20,579029
2022-02-21,592350
2022-02-22,504478
2022-02-23,445348
2022-02-24,422225
2022-02-25,507097
2022-02-26,569926
2022-02-27,467532
2022-02-28,598141
2022-03-01,675472
2022-03-02,566759
2022-03-03,552237
2022-03-04,521127
2022-03-05,701715
2022-03-06,547855
2022-03-07,686698
2022-03-08,514490
2022-03-09,470495
2022-03-10,625784
2022-03-11,751337
2022-03-12,519833
2022-03-13,493843
2022-03-14,545987
2022-03-15,489319
2022-03-16,603744
2022-03-17,777791
2022-03-18,571997
2022-03-19,750908
2022-03-20,725935
2022-03-21,555789
2022-03-22,470277
2022-03-23,548033
2022-03-24,573097
2022-03-25,496216
2022-03-26,675321
2022-03-27,541013
2022-03-28,608859
2022-03-29,453793
2022-03-30,513524
2022-03-31,839965
2022-04-01,1103023
2022-04-02,523116
2022-04-03,662970
2022-04-04,501316
2022-04-05,498078
2022-04-06,506832
2022-04-07,575083
2022-04-08,615920
2022-04-09,521199
2022-04-10,501215
2022-04-11,588749
2022-04-12,699786
2022-04-13,544196
2022-04-14,468390
2022-04-15,496679
2022-04-16,520185
2022-04-17,551345
2022-04-18,554288
2022-04-19,564951
2022-04-20,655699
2022-04-21,573141
2022-04-22,619725
2022-04-23,535941
2022-04-24,518125
2022-04-25,679393
2022-04-26,527080
2022-04-27,487215
2022-04-28,603731
2022-04-29,540718
2022-04-30,479230
2022-05-01,694762
2022-05-02,565248
2022-05-03,561396
2022-05-04,506736
2022-05-05,469483
2022-05-06,605525
2022-05-07,612575
2022-05-08,471170
2022-05-09,583525
2022-05-10,979816
2022-05-11,710083
2022-05-12,530750
2022-05-13,576506
2022-05-14,770886
2022-05-15,498827
2022-05-16,688677
2022-05-17,1098091
2022-05-18,1359880
2022-05-19,786661
2022-05-20,602914
2022-05-21,582617
2022-05-22,449626
2022-05-23,494220
2022-05-24,482876
