date,food sell
2021-06-11,8933926
2021-06-12,8580920
2021-06-13,10004478
2021-06-14,27607977
2021-06-15,14737429
2021-06-16,18703816
2021-06-17,21779158
2021-06-18,28228353
2021-06-19,15403037
2021-06-20,13222265
2021-06-21,17388606
2021-06-22,11151019
2021-06-23,23782743
2021-06-24,16701137
2021-06-25,12041241
2021-06-26,17068873
2021-06-27,14558986
2021-06-28,15211642
2021-06-29,15715514
2021-06-30,17891713
2021-07-01,17882383
2021-07-02,18434147
2021-07-03,16244432
2021-07-04,12141322
2021-07-05,16575981
2021-07-06,16842603
2021-07-07,11555055
2021-07-08,26747690
2021-07-09,14874087
2021-07-10,22026619
2021-07-11,16345168
2021-07-12,17013053
2021-07-13,15158409
2021-07-14,10502289
2021-07-15,11570906
2021-07-16,11811798
2021-07-17,13850463
2021-07-18,15801918
2021-07-19,15570516
2021-07-20,21215400
2021-07-21,13728615
2021-07-22,21368682
2021-07-23,15438000
2021-07-24,12830865
2021-07-25,58371409
2021-07-26,22263127
2021-07-27,18321389
2021-07-28,17176020
2021-07-29,16246721
2021-07-30,17443848
2021-07-31,14807645
2021-08-01,26216547
2021-08-02,18670310
2021-08-03,38237309
2021-08-04,21562302
2021-08-05,31043611
2021-08-06,13720743
2021-08-07,15607521
2021-08-08,19560372
2021-08-09,30519290
2021-08-10,16464742
2021-08-11,22441326
2021-08-12,19563530
2021-08-13,17584864
2021-08-14,17948439
2021-08-15,24158096
2021-08-16,32041661
2021-08-17,14683006
2021-08-18,17038025
2021-08-19,13420063
2021-08-20,12585809
2021-08-21,6657349
2021-08-22,12580914
2021-08-23,11008309
2021-08-24,11545278
2021-08-25,14437850
2021-08-26,10109088
2021-08-27,10334562
2021-08-28,14555830
2021-08-29,15738094
2021-08-30,9899794
2021-08-31,9986949
2021-09-01,10348888
2021-09-02,12270209
2021-09-03,7819302
2021-09-04,10556489
2021-09-05,12215132
2021-09-06,8597778
2021-09-07,11884651
2021-09-08,13428737
2021-09-09,12472915
2021-09-10,12018866
2021-09-11,9691005
2021-09-12,15002728
2021-09-13,11770289
2021-09-14,11417265
2021-09-15,11147142
2021-09-16,10232862
2021-09-17,14996430
2021-09-18,17285740
2021-09-19,18327808
2021-09-20,16838536
2021-09-21,14228098
2021-09-22,16057035
2021-09-23,21570476
2021-09-24,22697777
2021-09-25,22190533
2021-09-26,17061030
2021-09-27,19061096
2021-09-28,25177418
2021-09-29,19763682
2021-09-30,17998790
2021-10-01,16420315
2021-10-02,17597597
2021-10-03,17990454
2021-10-04,13909610
2021-10-05,20623362
2021-10-06,17616256
2021-10-07,16637999
2021-10-08,24034792
2021-10-09,26196768
2021-10-10,16522169
2021-10-11,19657137
2021-10-12,15328391
2021-10-13,15477642
2021-10-14,21077294
2021-10-15,15745951
2021-10-16,23087947
2021-10-17,18025441
2021-10-18,22436152
2021-10-19,24099346
2021-10-20,23052769
2021-10-21,17330477
