date,lead sell
2021-07-10,130622
2021-07-11,127844
2021-07-12,85855
2021-07-13,99853
2021-07-14,90294
2021-07-15,160593
2021-07-16,96593
2021-07-17,102446
2021-07-18,105662
2021-07-19,152765
2021-07-20,119148
2021-07-21,214015
2021-07-22,127560
2021-07-23,100301
2021-07-24,101141
2021-07-25,114599
2021-07-26,120173
2021-07-27,155468
2021-07-28,104729
2021-07-29,101440
2021-07-30,120696
2021-07-31,176416
2021-08-01,168189
2021-08-02,162121
2021-08-03,123923
2021-08-04,100607
2021-08-05,105720
2021-08-06,131764
2021-08-07,142057
2021-08-08,144209
2021-08-09,102576
2021-08-10,161451
2021-08-11,146104
2021-08-12,158654
2021-08-13,109177
2021-08-14,131100
2021-08-15,318931
2021-08-16,156013
2021-08-17,185473
2021-08-18,209891
2021-08-19,93248
2021-08-20,87029
2021-08-21,100010
2021-08-22,118333
2021-08-23,110974
2021-08-24,63659
2021-08-25,164452
2021-08-26,79440
2021-08-27,229672
2021-08-28,102581
2021-08-29,104058
2021-08-30,75822
2021-08-31,112289
2021-09-01,126796
2021-09-02,120688
2021-09-03,86463
2021-09-04,144564
2021-09-05,101553
2021-09-06,136953
2021-09-07,151685
2021-09-08,129842
2021-09-09,86250
2021-09-10,67285
2021-09-11,115018
2021-09-12,64932
2021-09-13,218057
2021-09-14,101360
2021-09-15,85187
2021-09-16,115054
2021-09-17,120256
2021-09-18,130650
2021-09-19,153204
2021-09-20,83006
2021-09-21,181977
2021-09-22,175004
2021-09-23,121308
2021-09-24,192109
2021-09-25,111301
2021-09-26,145103
2021-09-27,124836
2021-09-28,80683
2021-09-29,109005
2021-09-30,169738
2021-10-01,53908
2021-10-02,101432
2021-10-03,104785
2021-10-04,117211
2021-10-05,124473
2021-10-06,57729
2021-10-07,117058
2021-10-08,102206
2021-10-09,159312
2021-10-10,139918
2021-10-11,140097
2021-10-12,110240
2021-10-13,106489
2021-10-14,135979
2021-10-15,115698
2021-10-16,160979
2021-10-17,162076
2021-10-18,159439
2021-10-19,168952
2021-10-20,113208
2021-10-21,142436
2021-10-22,129715
2021-10-23,107210
2021-10-24,165820
2021-10-25,119577
2021-10-26,90159
2021-10-27,87858
2021-10-28,132806
2021-10-29,106786
2021-10-30,113966
2021-10-31,95497
2021-11-01,146386
2021-11-02,172221
2021-11-03,133739
2021-11-04,168073
2021-11-05,130500
2021-11-06,122742
2021-11-07,172397
2021-11-08,245987
2021-11-09,121275
2021-11-10,140371
2021-11-11,135100
2021-11-12,179354
2021-11-13,72648
2021-11-14,78440
2021-11-15,165965
2021-11-16,78126
2021-11-17,126750
2021-11-18,158444
2021-11-19,148730
2021-11-20,148153
2021-11-21,104195
2021-11-22,93217
2021-11-23,286667
2021-11-24,134751
2021-11-25,128676
2021-11-26,162585
2021-11-27,152890
2021-11-28,151503
2021-11-29,162487
2021-11-30,130436
2021-12-01,199467
2021-12-02,118959
2021-12-03,230137
2021-12-04,178726
2021-12-05,119646
2021-12-06,190697
2021-12-07,113867
2021-12-08,286051
2021-12-09,115320
2021-12-10,104591
2021-12-11,116327
2021-12-12,83451
2021-12-13,74984
2021-12-14,89054
2021-12-15,100910
2021-12-16,62227
2021-12-17,117344
2021-12-18,91732
2021-12-19,68675
2021-12-20,150351
2021-12-21,69999
2021-12-22,109963
2021-12-23,87391
2021-12-24,114114
2021-12-25,68281
2021-12-26,145586
2021-12-27,110445
2021-12-28,109009
2021-12-29,125501
2021-12-30,92446
2021-12-31,118237
2022-01-01,123169
2022-01-02,130612
2022-01-03,167639
2022-01-04,149134
2022-01-05,190702
2022-01-06,160259
2022-01-07,151241
2022-01-08,92192
2022-01-09,104628
2022-01-10,122057
2022-01-11,73923
2022-01-12,106079
2022-01-13,145674
2022-01-14,144038
2022-01-15,129524
2022-01-16,173015
2022-01-17,121443
2022-01-18,136112
2022-01-19,149958
2022-01-20,189447
2022-01-21,126781
2022-01-22,97911
2022-01-23,161112
2022-01-24,88588
2022-01-25,123178
2022-01-26,69631
2022-01-27,84378
2022-01-28,90464
2022-01-29,75093
2022-01-30,107734
2022-01-31,102439
2022-02-01,162174
2022-02-02,133742
2022-02-03,122363
2022-02-04,78633
2022-02-05,103091
2022-02-06,131478
2022-02-07,120645
2022-02-08,119077
2022-02-09,89917
2022-02-10,141959
2022-02-11,243242
2022-02-12,260504
2022-02-13,139181
2022-02-14,239026
2022-02-15,187871
2022-02-16,173882
2022-02-17,171225
2022-02-18,247711
2022-02-19,228839
2022-02-20,169602
2022-02-21,139460
2022-02-22,85558
2022-02-23,155419
2022-02-24,119244
2022-02-25,148811
2022-02-26,105953
2022-02-27,259617
2022-02-28,161484
2022-03-01,94180
2022-03-02,139277
2022-03-03,149757
2022-03-04,198579
2022-03-05,325220
2022-03-06,175500
2022-03-07,162174
2022-03-08,140167
2022-03-09,266901
2022-03-10,330964
2022-03-11,133270
2022-03-12,148370
2022-03-13,149664
2022-03-14,227291
2022-03-15,131160
2022-03-16,119830
2022-03-17,178910
2022-03-18,216424
2022-03-19,234228
2022-03-20,251085
2022-03-21,126857
2022-03-22,214220
2022-03-23,195316
2022-03-24,190031
2022-03-25,188049
2022-03-26,253966
2022-03-27,235162
2022-03-28,180232
2022-03-29,162831
2022-03-30,214175
2022-03-31,168720
2022-04-01,142358
2022-04-02,239360
2022-04-03,221250
2022-04-04,178221
2022-04-05,187781
2022-04-06,167554
2022-04-07,179110
2022-04-08,176380
2022-04-09,201870
2022-04-10,195469
2022-04-11,229557
2022-04-12,217689
2022-04-13,197184
2022-04-14,109933
2022-04-15,125564
2022-04-16,204852
2022-04-17,200063
2022-04-18,274064
2022-04-19,141446
2022-04-20,331506
2022-04-21,155349
2022-04-22,235695
2022-04-23,133424
2022-04-24,137906
2022-04-25,213232
2022-04-26,235424
2022-04-27,176882
2022-04-28,167174
2022-04-29,261595
2022-04-30,198719
2022-05-01,217206
2022-05-02,224761
2022-05-03,158889
2022-05-04,159791
2022-05-05,298757
2022-05-06,158843
2022-05-07,164968
2022-05-08,253704
2022-05-09,192677
2022-05-10,316351
2022-05-11,228653
2022-05-12,147165
2022-05-13,168963
2022-05-14,150113
2022-05-15,259724
2022-05-16,201121
2022-05-17,235336
2022-05-18,161045
2022-05-19,178434
2022-05-20,190119
2022-05-21,193893
2022-05-22,326072
2022-05-23,217968
2022-05-24,190965
2022-05-25,169254
2022-05-26,165684
2022-05-27,158787
2022-05-28,184646
2022-05-29,242278
2022-05-30,212323
2022-05-31,203178
2022-06-01,155656
2022-06-02,209627
2022-06-03,173270
2022-06-04,203681
2022-06-05,266597
2022-06-06,251766
2022-06-07,230958
2022-06-08,175579
2022-06-09,166121
2022-06-10,209737
2022-06-11,202539
2022-06-12,224442
2022-06-13,206446
2022-06-14,224929
2022-06-15,206213
2022-06-16,229480
2022-06-17,221189
2022-06-18,166065
2022-06-19,221217
2022-06-20,240132
2022-06-21,197581
2022-06-22,177597
2022-06-23,177287
2022-06-24,215823
2022-06-25,175284
2022-06-26,221002
2022-06-27,193169
2022-06-28,173734
2022-06-29,177831
2022-06-30,147038
2022-07-01,208231
2022-07-02,183335
2022-07-03,153960
2022-07-04,212822
2022-07-05,183156
2022-07-06,161145
2022-07-07,115250
2022-07-08,136242
2022-07-09,182020
2022-07-10,204794
2022-07-11,174263
2022-07-12,100087
2022-07-13,172831
2022-07-14,274718
2022-07-15,150591
2022-07-16,136615
2022-07-17,198324
2022-07-18,194213
2022-07-19,130916
2022-07-20,96749
2022-07-21,212942
2022-07-22,138902
2022-07-23,118751
2022-07-24,173254
2022-07-25,388038
2022-07-26,295692
2022-07-27,188875
2022-07-28,169874
2022-07-29,225812
2022-07-30,302021
2022-07-31,209793
2022-08-01,361329
2022-08-02,204791
2022-08-03,321088
2022-08-04,293282
2022-08-05,302754
2022-08-06,421611
2022-08-07,346805
2022-08-08,352742
2022-08-09,239073
2022-08-10,223024
2022-08-11,255151
2022-08-12,338651
2022-08-13,199366
2022-08-14,393057
2022-08-15,203241
2022-08-16,253393
2022-08-17,218781
2022-08-18,329923
2022-08-19,316149
2022-08-20,332966
2022-08-21,259348
2022-08-22,206427
2022-08-23,199037
2022-08-24,336749
2022-08-25,145898
2022-08-26,133960
2022-08-27,371627
2022-08-28,266991
2022-08-29,252935
2022-08-30,127390
2022-08-31,141129
2022-09-01,130051
2022-09-02,275782
2022-09-03,247712
2022-09-04,249737
2022-09-05,235632
2022-09-06,213383
2022-09-07,242738
2022-09-08,219204
