date,oil sell
2021-07-10,134426
2021-07-11,154747
2021-07-12,251655
2021-07-13,146943
2021-07-14,160199
2021-07-15,170595
2021-07-16,155404
2021-07-17,140861
2021-07-18,170326
2021-07-19,131832
2021-07-20,274628
2021-07-21,246397
2021-07-22,283734
2021-07-23,145785
2021-07-24,130208
2021-07-25,225287
2021-07-26,191822
2021-07-27,145947
2021-07-28,212052
2021-07-29,169248
2021-07-30,195277
2021-07-31,194112
2021-08-01,327914
2021-08-02,159486
2021-08-03,195784
2021-08-04,239950
2021-08-05,200142
2021-08-06,148804
2021-08-07,227840
2021-08-08,137742
2021-08-09,224228
2021-08-10,127172
2021-08-11,214428
2021-08-12,170071
2021-08-13,212906
2021-08-14,216467
2021-08-15,259046
2021-08-16,170866
2021-08-17,179946
2021-08-18,239333
2021-08-19,157967
2021-08-20,179230
2021-08-21,159530
2021-08-22,146169
2021-08-23,164990
2021-08-24,176018
2021-08-25,142143
2021-08-26,150442
2021-08-27,144286
2021-08-28,141765
2021-08-29,160844
2021-08-30,141880
2021-08-31,133471
2021-09-01,174440
2021-09-02,247385
2021-09-03,189628
2021-09-04,154075
2021-09-05,164677
2021-09-06,153719
2021-09-07,242803
2021-09-08,142502
2021-09-09,145461
2021-09-10,91250
2021-09-11,155018
2021-09-12,170321
2021-09-13,119857
2021-09-14,162103
2021-09-15,164933
2021-09-16,131305
2021-09-17,207293
2021-09-18,164245
2021-09-19,202131
2021-09-20,253955
2021-09-21,209212
2021-09-22,180662
2021-09-23,144709
2021-09-24,217584
2021-09-25,287829
2021-09-26,192332
2021-09-27,300143
2021-09-28,259754
2021-09-29,209011
2021-09-30,210958
2021-10-01,232278
2021-10-02,153558
2021-10-03,301289
2021-10-04,188871
2021-10-05,164998
2021-10-06,180150
2021-10-07,163944
2021-10-08,198810
2021-10-09,219612
2021-10-10,261581
2021-10-11,166440
2021-10-12,245354
2021-10-13,284378
2021-10-14,224310
2021-10-15,224745
2021-10-16,137537
2021-10-17,175144
2021-10-18,171427
2021-10-19,247447
2021-10-20,246001
2021-10-21,163671
2021-10-22,292615
2021-10-23,173813
2021-10-24,188571
2021-10-25,232161
2021-10-26,182400
2021-10-27,124832
2021-10-28,249817
2021-10-29,183517
2021-10-30,212904
2021-10-31,238531
2021-11-01,365848
2021-11-02,232115
2021-11-03,210328
2021-11-04,211684
2021-11-05,241664
2021-11-06,179646
2021-11-07,241119
2021-11-08,252487
2021-11-09,152705
2021-11-10,283660
2021-11-11,202798
2021-11-12,230904
2021-11-13,168794
2021-11-14,194711
2021-11-15,198831
2021-11-16,273006
2021-11-17,168287
2021-11-18,249177
2021-11-19,191779
2021-11-20,118262
2021-11-21,177594
2021-11-22,277490
2021-11-23,211715
2021-11-24,153501
2021-11-25,197478
2021-11-26,225954
2021-11-27,203442
2021-11-28,227709
2021-11-29,288074
2021-11-30,310134
2021-12-01,331414
2021-12-02,212630
2021-12-03,179537
2021-12-04,184071
2021-12-05,296245
2021-12-06,250325
2021-12-07,213104
2021-12-08,262568
2021-12-09,211202
2021-12-10,239064
2021-12-11,109260
2021-12-12,240716
2021-12-13,214695
2021-12-14,142521
2021-12-15,128117
2021-12-16,171253
2021-12-17,103040
2021-12-18,144335
2021-12-19,111199
2021-12-20,127944
2021-12-21,126274
2021-12-22,119473
2021-12-23,146015
2021-12-24,172819
2021-12-25,79649
2021-12-26,140913
2021-12-27,193538
2021-12-28,144764
2021-12-29,210182
2021-12-30,137351
2021-12-31,201017
2022-01-01,171223
2022-01-02,181369
2022-01-03,160479
2022-01-04,215867
2022-01-05,257821
2022-01-06,246301
2022-01-07,190739
2022-01-08,167072
2022-01-09,265149
2022-01-10,227715
2022-01-11,199161
2022-01-12,289179
2022-01-13,241845
2022-01-14,175591
2022-01-15,222659
2022-01-16,187559
2022-01-17,301420
2022-01-18,264051
2022-01-19,201024
2022-01-20,232928
2022-01-21,186079
2022-01-22,319408
2022-01-23,273285
2022-01-24,205321
2022-01-25,152028
2022-01-26,266721
2022-01-27,183309
2022-01-28,145465
2022-01-29,257807
2022-01-30,183682
2022-01-31,134839
2022-02-01,267530
2022-02-02,156601
2022-02-03,223033
2022-02-04,180303
2022-02-05,195110
2022-02-06,216111
2022-02-07,197610
2022-02-08,202662
2022-02-09,160791
2022-02-10,195392
2022-02-11,178359
2022-02-12,238584
2022-02-13,258459
2022-02-14,254270
2022-02-15,211897
2022-02-16,373453
2022-02-17,339765
2022-02-18,330136
2022-02-19,224425
2022-02-20,336065
2022-02-21,245743
2022-02-22,339891
2022-02-23,307320
2022-02-24,173606
2022-02-25,311374
2022-02-26,187779
2022-02-27,242711
2022-02-28,213742
2022-03-01,300157
2022-03-02,194421
2022-03-03,267629
2022-03-04,348321
2022-03-05,269531
2022-03-06,249377
2022-03-07,354853
2022-03-08,336952
2022-03-09,387723
2022-03-10,349450
2022-03-11,232191
2022-03-12,377812
2022-03-13,250577
2022-03-14,276503
2022-03-15,243745
2022-03-16,278048
2022-03-17,243109
2022-03-18,237200
2022-03-19,421615
2022-03-20,356642
2022-03-21,240555
2022-03-22,214756
2022-03-23,237522
2022-03-24,287458
2022-03-25,233167
2022-03-26,228304
2022-03-27,265199
2022-03-28,222290
2022-03-29,350087
2022-03-30,198932
2022-03-31,206145
2022-04-01,279341
2022-04-02,242944
2022-04-03,254789
2022-04-04,391107
2022-04-05,210268
2022-04-06,294564
2022-04-07,208669
2022-04-08,322805
2022-04-09,244663
2022-04-10,273892
2022-04-11,406070
2022-04-12,326216
2022-04-13,341239
2022-04-14,346658
2022-04-15,299929
2022-04-16,231061
2022-04-17,285571
2022-04-18,326151
2022-04-19,332714
2022-04-20,276559
2022-04-21,162975
2022-04-22,273519
2022-04-23,302385
2022-04-24,460577
2022-04-25,305847
2022-04-26,206933
2022-04-27,239782
2022-04-28,368786
2022-04-29,281071
2022-04-30,302647
2022-05-01,492855
2022-05-02,273785
2022-05-03,266761
2022-05-04,262627
2022-05-05,301123
2022-05-06,391188
2022-05-07,348669
2022-05-08,289167
2022-05-09,499194
2022-05-10,439560
2022-05-11,316878
2022-05-12,465452
2022-05-13,216449
2022-05-14,284245
2022-05-15,322556
2022-05-16,254935
2022-05-17,296843
2022-05-18,277534
2022-05-19,324966
2022-05-20,308465
2022-05-21,302049
2022-05-22,290629
2022-05-23,218943
2022-05-24,224417
2022-05-25,264996
2022-05-26,289043
2022-05-27,291652
2022-05-28,313833
2022-05-29,203711
2022-05-30,424780
2022-05-31,229563
2022-06-01,263805
2022-06-02,157563
2022-06-03,275157
2022-06-04,256728
2022-06-05,331571
2022-06-06,247960
2022-06-07,440090
2022-06-08,250151
2022-06-09,213597
2022-06-10,551732
2022-06-11,259455
2022-06-12,326803
2022-06-13,316543
2022-06-14,344937
2022-06-15,182553
2022-06-16,369151
2022-06-17,276346
2022-06-18,262482
2022-06-19,321620
2022-06-20,321282
2022-06-21,387419
2022-06-22,199113
2022-06-23,380792
2022-06-24,299861
2022-06-25,233115
2022-06-26,226168
2022-06-27,239809
2022-06-28,320423
2022-06-29,269033
2022-06-30,190205
2022-07-01,315071
2022-07-02,194335
2022-07-03,241507
2022-07-04,291567
2022-07-05,161799
2022-07-06,178103
2022-07-07,202155
2022-07-08,207003
2022-07-09,327177
2022-07-10,268532
2022-07-11,215626
2022-07-12,328825
2022-07-13,210352
2022-07-14,141773
2022-07-15,156806
2022-07-16,196399
2022-07-17,313764
2022-07-18,218522
2022-07-19,262279
2022-07-20,279735
2022-07-21,184921
2022-07-22,148165
2022-07-23,197389
2022-07-24,153646
2022-07-25,446675
2022-07-26,356757
2022-07-27,281666
2022-07-28,136630
2022-07-29,244650
2022-07-30,195443
2022-07-31,243329
2022-08-01,508223
2022-08-02,414758
2022-08-03,314295
2022-08-04,395848
2022-08-05,403135
2022-08-06,463138
2022-08-07,458666
2022-08-08,258120
2022-08-09,276844
2022-08-10,271522
2022-08-11,351042
2022-08-12,324956
2022-08-13,221701
2022-08-14,463082
2022-08-15,311214
2022-08-16,243283
2022-08-17,235393
2022-08-18,262867
2022-08-19,471164
2022-08-20,335515
2022-08-21,240777
2022-08-22,330266
2022-08-23,268890
2022-08-24,256089
2022-08-25,333203
2022-08-26,362694
2022-08-27,462985
2022-08-28,279486
2022-08-29,308877
2022-08-30,493488
2022-08-31,425786
2022-09-01,192999
2022-09-02,373343
2022-09-03,223006
2022-09-04,358286
2022-09-05,262639
2022-09-06,440650
2022-09-07,311497
2022-09-08,260039
2022-09-09,257895
2022-09-10,293866
2022-09-11,321627
2022-09-12,235805
2022-09-13,361385
2022-09-14,344600
2022-09-15,349126
2022-09-16,326952
2022-09-17,366152
2022-09-18,276176
2022-09-19,325710
2022-09-20,313411
2022-09-21,253746
2022-09-22,276410
2022-09-23,203192
2022-09-24,328193
2022-09-25,238979
2022-09-26,307302
2022-09-27,288355
2022-09-28,267825
2022-09-29,293245
2022-09-30,270948
2022-10-01,450459
2022-10-02,335082
2022-10-03,222076
2022-10-04,241291
2022-10-05,344934
2022-10-06,230478
2022-10-07,318643
2022-10-08,559163
2022-10-09,338727
2022-10-10,382145
2022-10-11,278851
2022-10-12,341390
2022-10-13,415630
2022-10-14,240872
2022-10-15,296071
2022-10-16,401396
2022-10-17,340063
2022-10-18,328973
2022-10-19,384243
2022-10-20,268455
2022-10-21,290702
2022-10-22,416352
2022-10-23,324776
2022-10-24,558251
2022-10-25,464841
2022-10-26,243237
2022-10-27,303684
2022-10-28,187298
2022-10-29,258123
2022-10-30,437403
2022-10-31,259857
2022-11-01,444581
2022-11-02,420832
2022-11-03,375729
2022-11-04,225800
2022-11-05,483167
2022-11-06,389447
2022-11-07,355592
2022-11-08,392519
2022-11-09,240020
2022-11-10,195343
2022-11-11,379364
2022-11-12,390279
2022-11-13,207296
2022-11-14,267427
2022-11-15,330333
2022-11-16,356815
2022-11-17,300197
2022-11-18,231927
2022-11-19,285903
2022-11-20,345927
2022-11-21,208552
2022-11-22,194356
2022-11-23,186504
2022-11-24,295126
2022-11-25,243836
2022-11-26,333359
2022-11-27,227537
2022-11-28,286373
2022-11-29,241974
2022-11-30,261903
2022-12-01,407323
2022-12-02,382538
2022-12-03,218972
2022-12-04,308901
2022-12-05,228776
2022-12-06,477517
2022-12-07,207954
2022-12-08,391538
2022-12-09,377902
2022-12-10,299518
2022-12-11,259011
2022-12-12,262361
2022-12-13,255632
2022-12-14,152272
2022-12-15,288083
2022-12-16,276509
2022-12-17,250980
2022-12-18,380946
2022-12-19,331920
2022-12-20,179318
2022-12-21,243988
2022-12-22,313621
2022-12-23,234521
2022-12-24,188438
2022-12-25,228025
2022-12-26,293304
2022-12-27,282529
2022-12-28,344429
2022-12-29,219851
2022-12-30,207889
2022-12-31,392647
2023-01-01,246768
2023-01-02,297779
2023-01-03,368299
2023-01-04,378797
2023-01-05,236158
2023-01-06,434217
2023-01-07,372397
2023-01-08,379657
2023-01-09,262056
2023-01-10,402839
2023-01-11,166133
2023-01-12,242106
2023-01-13,275673
2023-01-14,337893
2023-01-15,228858
2023-01-16,259579
2023-01-17,298512
2023-01-18,169866
2023-01-19,317753
2023-01-20,215629
2023-01-21,280376
2023-01-22,269696
2023-01-23,361608
2023-01-24,230488
2023-01-25,561934
2023-01-26,230471
2023-01-27,522511
2023-01-28,626980
2023-01-29,327220
2023-01-30,308729
2023-01-31,352686
2023-02-01,361954
2023-02-02,553490
2023-02-03,262908
2023-02-04,343794
2023-02-05,241742
2023-02-06,481762
2023-02-07,339121
2023-02-08,432613
2023-02-09,262681
