date,munitions sell
2021-07-09,539830
2021-07-10,367757
2021-07-11,545783
2021-07-12,487296
2021-07-13,519223
2021-07-14,424498
2021-07-15,549466
2021-07-16,290585
2021-07-17,305759
2021-07-18,420407
2021-07-19,464467
2021-07-20,443552
2021-07-21,472562
2021-07-22,441719
2021-07-23,435734
2021-07-24,437937
2021-07-25,729016
2021-07-26,429324
2021-07-27,402220
2021-07-28,354493
2021-07-29,502496
2021-07-30,430444
2021-07-31,514563
2021-08-01,449611
2021-08-02,540490
2021-08-03,640620
2021-08-04,419901
2021-08-05,627782
2021-08-06,490750
2021-08-07,291294
2021-08-08,594931
2021-08-09,445449
2021-08-10,446142
2021-08-11,636956
2021-08-12,367845
2021-08-13,477810
2021-08-14,448435
2021-08-15,775907
2021-08-16,732558
2021-08-17,475300
2021-08-18,676264
2021-08-19,612462
2021-08-20,366368
2021-08-21,359560
2021-08-22,355215
2021-08-23,587645
2021-08-24,530354
2021-08-25,386998
2021-08-26,548649
2021-08-27,280190
2021-08-28,407290
2021-08-29,361815
2021-08-30,360549
2021-08-31,306487
2021-09-01,568567
2021-09-02,517529
2021-09-03,462721
2021-09-04,318976
2021-09-05,359576
2021-09-06,475893
2021-09-07,456541
2021-09-08,364163
2021-09-09,286886
2021-09-10,425077
2021-09-11,379268
2021-09-12,406777
2021-09-13,413771
2021-09-14,301310
2021-09-15,327623
2021-09-16,400055
2021-09-17,562993
2021-09-18,403841
2021-09-19,660583
2021-09-20,652122
2021-09-21,509143
2021-09-22,579519
2021-09-23,525630
2021-09-24,552853
2021-09-25,475769
2021-09-26,420184
2021-09-27,560249
2021-09-28,696583
2021-09-29,573966
2021-09-30,351564
2021-10-01,741985
2021-10-02,539328
2021-10-03,808596
2021-10-04,498936
2021-10-05,642679
2021-10-06,478709
2021-10-07,467053
2021-10-08,337203
2021-10-09,463220
2021-10-10,589072
2021-10-11,660059
2021-10-12,548532
2021-10-13,386708
2021-10-14,520050
2021-10-15,620813
2021-10-16,434433
2021-10-17,483346
2021-10-18,575361
2021-10-19,494426
2021-10-20,803572
2021-10-21,439837
2021-10-22,426728
2021-10-23,681590
2021-10-24,778477
2021-10-25,389132
2021-10-26,409147
2021-10-27,371829
2021-10-28,578594
2021-10-29,358041
2021-10-30,683116
2021-10-31,435596
2021-11-01,502101
2021-11-02,588550
2021-11-03,403434
2021-11-04,401113
2021-11-05,428783
2021-11-06,508998
2021-11-07,612216
2021-11-08,556750
2021-11-09,520255
2021-11-10,373054
2021-11-11,413898
2021-11-12,505566
2021-11-13,459539
2021-11-14,577236
2021-11-15,637507
2021-11-16,522422
2021-11-17,518318
2021-11-18,767672
2021-11-19,459203
2021-11-20,524043
2021-11-21,554213
2021-11-22,493881
2021-11-23,490676
2021-11-24,404402
2021-11-25,370202
2021-11-26,578062
2021-11-27,427945
2021-11-28,531089
2021-11-29,819799
2021-11-30,732985
2021-12-01,579291
2021-12-02,682685
2021-12-03,601727
2021-12-04,662631
2021-12-05,540912
2021-12-06,976788
2021-12-07,897946
2021-12-08,1222125
2021-12-09,562258
2021-12-10,504876
2021-12-11,729128
2021-12-12,1351578
2021-12-13,514458
2021-12-14,606955
2021-12-15,446257
2021-12-16,619262
2021-12-17,473484
2021-12-18,1068920
2021-12-19,708859
2021-12-20,538760
2021-12-21,511567
2021-12-22,470468
2021-12-23,475789
2021-12-24,625244
2021-12-25,433809
2021-12-26,586653
2021-12-27,402973
2021-12-28,545498
2021-12-29,447941
2021-12-30,430474
2021-12-31,429148
2022-01-01,493968
2022-01-02,731399
2022-01-03,687058
2022-01-04,494626
2022-01-05,651042
2022-01-06,470743
2022-01-07,984490
2022-01-08,555774
2022-01-09,686351
2022-01-10,637857
2022-01-11,377249
2022-01-12,461166
2022-01-13,561994
2022-01-14,497247
2022-01-15,530610
2022-01-16,335071
2022-01-17,718460
2022-01-18,538123
2022-01-19,427385
2022-01-20,846551
2022-01-21,603908
2022-01-22,625274
2022-01-23,920242
2022-01-24,546183
2022-01-25,393909
2022-01-26,397307
2022-01-27,349054
2022-01-28,523144
2022-01-29,497183
2022-01-30,440086
2022-01-31,392871
2022-02-01,597662
2022-02-02,464738
2022-02-03,579969
2022-02-04,550762
2022-02-05,497364
2022-02-06,510325
2022-02-07,595986
2022-02-08,542309
2022-02-09,476407
