date,coal sell
2021-07-10,217548
2021-07-11,199215
2021-07-12,191254
2021-07-13,202042
2021-07-14,132637
2021-07-15,219179
2021-07-16,278531
2021-07-17,190885
2021-07-18,244887
2021-07-19,223955
2021-07-20,246854
2021-07-21,281877
2021-07-22,250442
2021-07-23,206122
2021-07-24,193179
2021-07-25,217755
2021-07-26,270051
2021-07-27,161655
2021-07-28,176896
2021-07-29,200680
2021-07-30,198418
2021-07-31,152288
2021-08-01,247400
2021-08-02,239296
2021-08-03,241352
2021-08-04,145734
2021-08-05,180856
2021-08-06,213379
2021-08-07,231410
2021-08-08,166888
2021-08-09,186701
2021-08-10,170901
2021-08-11,187844
2021-08-12,181310
2021-08-13,180086
2021-08-14,143125
2021-08-15,240609
2021-08-16,188445
2021-08-17,167900
2021-08-18,203989
2021-08-19,132358
2021-08-20,125235
2021-08-21,182137
2021-08-22,209653
2021-08-23,247204
2021-08-24,147859
2021-08-25,236862
2021-08-26,167534
2021-08-27,197236
2021-08-28,211205
2021-08-29,173516
2021-08-30,153768
2021-08-31,132902
2021-09-01,157984
2021-09-02,217960
2021-09-03,206560
2021-09-04,215343
2021-09-05,215911
2021-09-06,105632
2021-09-07,248566
2021-09-08,159033
2021-09-09,151388
2021-09-10,174282
2021-09-11,150713
2021-09-12,169986
2021-09-13,201940
2021-09-14,141915
2021-09-15,252883
2021-09-16,190173
2021-09-17,163727
2021-09-18,212815
2021-09-19,264937
2021-09-20,261810
2021-09-21,192222
2021-09-22,195388
2021-09-23,142058
2021-09-24,185351
2021-09-25,208647
2021-09-26,166125
2021-09-27,270213
2021-09-28,220749
2021-09-29,173575
2021-09-30,205851
2021-10-01,215097
2021-10-02,177776
2021-10-03,251331
2021-10-04,230868
2021-10-05,190355
2021-10-06,151621
2021-10-07,185013
2021-10-08,223733
2021-10-09,311561
2021-10-10,358981
2021-10-11,137908
2021-10-12,172868
2021-10-13,225983
2021-10-14,248953
2021-10-15,184510
2021-10-16,180777
2021-10-17,198883
2021-10-18,318271
2021-10-19,181815
2021-10-20,207672
2021-10-21,215039
2021-10-22,206737
2021-10-23,225046
2021-10-24,163256
2021-10-25,205164
2021-10-26,188347
2021-10-27,150441
2021-10-28,240436
2021-10-29,190702
2021-10-30,209234
2021-10-31,206367
2021-11-01,350213
2021-11-02,280931
2021-11-03,235238
2021-11-04,174796
2021-11-05,246508
2021-11-06,218842
2021-11-07,294142
2021-11-08,257628
2021-11-09,263072
2021-11-10,231209
2021-11-11,193726
2021-11-12,183171
2021-11-13,172917
2021-11-14,230171
2021-11-15,259104
2021-11-16,213524
2021-11-17,260469
2021-11-18,237292
2021-11-19,166408
2021-11-20,187385
2021-11-21,179880
2021-11-22,219072
2021-11-23,351939
2021-11-24,190970
2021-11-25,174012
2021-11-26,234078
2021-11-27,195646
2021-11-28,173385
2021-11-29,338866
2021-11-30,220795
2021-12-01,203909
2021-12-02,213929
2021-12-03,205468
2021-12-04,198564
2021-12-05,199138
2021-12-06,223383
2021-12-07,203849
2021-12-08,540361
2021-12-09,192472
2021-12-10,146611
2021-12-11,157576
2021-12-12,256934
2021-12-13,148891
2021-12-14,135837
2021-12-15,116812
2021-12-16,138988
2021-12-17,156346
2021-12-18,140098
2021-12-19,148728
2021-12-20,139191
2021-12-21,169992
2021-12-22,145320
2021-12-23,195756
2021-12-24,224915
2021-12-25,187795
2021-12-26,237898
2021-12-27,179141
2021-12-28,192312
2021-12-29,217623
2021-12-30,214128
2021-12-31,145408
2022-01-01,208491
2022-01-02,304765
2022-01-03,173148
2022-01-04,286941
2022-01-05,194039
2022-01-06,321242
2022-01-07,149645
2022-01-08,289201
2022-01-09,257035
2022-01-10,270885
2022-01-11,152363
2022-01-12,159482
2022-01-13,313782
2022-01-14,305476
2022-01-15,260029
2022-01-16,277041
2022-01-17,210662
2022-01-18,315973
2022-01-19,176573
2022-01-20,278045
2022-01-21,201980
2022-01-22,213953
2022-01-23,247736
2022-01-24,206846
2022-01-25,215100
2022-01-26,182882
2022-01-27,186961
2022-01-28,164538
2022-01-29,205097
2022-01-30,192440
2022-01-31,170474
2022-02-01,167634
2022-02-02,196824
2022-02-03,207678
2022-02-04,131478
2022-02-05,165716
2022-02-06,226611
2022-02-07,227447
2022-02-08,147314
2022-02-09,161133
2022-02-10,247736
2022-02-11,222587
2022-02-12,214550
2022-02-13,243987
2022-02-14,233426
2022-02-15,226766
2022-02-16,290807
2022-02-17,259628
2022-02-18,297995
2022-02-19,319707
2022-02-20,264099
2022-02-21,273926
2022-02-22,257112
2022-02-23,312678
2022-02-24,213799
2022-02-25,254568
2022-02-26,297169
2022-02-27,185858
2022-02-28,229960
2022-03-01,300747
2022-03-02,248809
2022-03-03,282263
2022-03-04,242517
2022-03-05,395378
2022-03-06,202961
2022-03-07,320775
2022-03-08,270379
2022-03-09,337902
2022-03-10,261542
2022-03-11,248050
2022-03-12,298303
2022-03-13,293778
2022-03-14,322323
2022-03-15,208057
2022-03-16,208909
2022-03-17,344000
2022-03-18,278155
2022-03-19,304639
2022-03-20,310067
2022-03-21,191589
2022-03-22,311145
2022-03-23,262931
2022-03-24,242593
2022-03-25,221383
2022-03-26,215445
2022-03-27,285846
2022-03-28,293531
2022-03-29,260080
2022-03-30,330663
2022-03-31,236586
2022-04-01,271361
2022-04-02,274029
2022-04-03,301063
2022-04-04,223060
2022-04-05,250800
2022-04-06,362972
2022-04-07,263336
2022-04-08,197433
2022-04-09,279944
2022-04-10,228878
2022-04-11,275898
2022-04-12,371403
2022-04-13,320815
2022-04-14,266735
2022-04-15,695122
2022-04-16,362492
2022-04-17,322759
2022-04-18,269965
2022-04-19,177728
2022-04-20,224009
2022-04-21,229067
2022-04-22,339509
2022-04-23,275522
2022-04-24,290057
2022-04-25,281754
2022-04-26,283632
