date,iron sell
2021-07-10,156129
2021-07-11,180891
2021-07-12,189256
2021-07-13,171203
2021-07-14,101026
2021-07-15,209371
2021-07-16,225198
2021-07-17,194166
2021-07-18,193678
2021-07-19,174459
2021-07-20,158376
2021-07-21,345009
2021-07-22,259851
2021-07-23,160811
2021-07-24,119049
2021-07-25,290096
2021-07-26,343527
2021-07-27,235795
2021-07-28,249269
2021-07-29,188256
2021-07-30,137380
2021-07-31,171131
2021-08-01,215096
2021-08-02,189474
2021-08-03,192204
2021-08-04,173313
2021-08-05,209909
2021-08-06,183265
2021-08-07,126597
2021-08-08,133097
2021-08-09,162515
2021-08-10,172502
2021-08-11,158845
2021-08-12,177086
2021-08-13,161933
2021-08-14,171726
2021-08-15,261259
2021-08-16,137838
2021-08-17,177212
2021-08-18,187217
2021-08-19,113379
2021-08-20,111895
2021-08-21,138894
2021-08-22,175368
2021-08-23,140957
2021-08-24,119594
2021-08-25,136217
2021-08-26,109128
2021-08-27,180393
2021-08-28,162018
2021-08-29,123180
2021-08-30,145746
2021-08-31,106599
2021-09-01,162466
2021-09-02,154407
2021-09-03,161184
2021-09-04,171853
2021-09-05,192504
2021-09-06,131579
2021-09-07,119296
2021-09-08,133690
2021-09-09,154275
2021-09-10,134766
2021-09-11,150160
2021-09-12,145964
2021-09-13,145030
2021-09-14,155100
2021-09-15,197806
2021-09-16,148264
2021-09-17,136722
2021-09-18,242750
2021-09-19,199919
2021-09-20,232015
2021-09-21,230558
2021-09-22,226204
2021-09-23,191511
2021-09-24,160893
2021-09-25,315488
2021-09-26,185235
2021-09-27,165070
2021-09-28,169065
2021-09-29,177313
2021-09-30,184235
2021-10-01,140728
2021-10-02,142205
2021-10-03,300237
2021-10-04,214185
2021-10-05,149151
2021-10-06,256639
2021-10-07,204110
2021-10-08,226465
2021-10-09,202990
2021-10-10,239182
2021-10-11,141900
2021-10-12,161800
2021-10-13,157326
2021-10-14,178410
2021-10-15,163762
2021-10-16,168964
2021-10-17,229427
2021-10-18,271390
2021-10-19,167783
2021-10-20,182852
2021-10-21,196845
2021-10-22,191505
2021-10-23,229906
2021-10-24,192809
2021-10-25,179049
2021-10-26,194500
2021-10-27,106149
2021-10-28,176064
2021-10-29,192156
2021-10-30,189161
2021-10-31,198929
2021-11-01,275359
2021-11-02,150327
2021-11-03,270821
2021-11-04,211292
2021-11-05,175018
2021-11-06,163942
2021-11-07,193806
2021-11-08,179579
2021-11-09,184837
2021-11-10,189427
2021-11-11,210218
2021-11-12,251010
2021-11-13,177218
2021-11-14,207787
2021-11-15,284685
2021-11-16,303268
2021-11-17,152671
2021-11-18,173063
2021-11-19,164776
2021-11-20,192485
2021-11-21,185708
2021-11-22,196364
2021-11-23,209245
2021-11-24,126117
2021-11-25,167693
2021-11-26,182783
2021-11-27,270021
2021-11-28,131077
2021-11-29,228219
2021-11-30,218024
2021-12-01,220130
2021-12-02,211268
2021-12-03,193720
2021-12-04,170040
2021-12-05,205015
2021-12-06,218775
2021-12-07,183762
2021-12-08,293669
